name,approx,target,pred,error,scores,overall_mean_target,mean_target_in_neighborhood,mean_approx_in_neighborhood,neighborhood_size,neighborhood_size_pct,neighborhood_size_div_model_avg,entropy,uncertainty,r_centered_entropy,logk_r_centered_entropy,target_approx_consistency_in_neighborhood,pred_targets_consistency_in_neighborhood,target_targets_consistency_in_neighborhood,targets_and_approxs_consistency_in_neighborhood,target_diversity_in_neighborhood,approx_diversity_in_neighborhood,dataset,model,attack,n_test,n_classes,bacc_test
0.0,0,0,0,0,1.00000000|0.00000000,0.44363636363636366,0.0,0.0,32,11.636363636363637,1.2555286060778998,8.296697179966748e-10,8.296697179966748e-10,0.007892390246536667,0.015661496493746447,1.0,1.0,1.0,1.0,4.1305960435927445e-11,4.1305960435927445e-11,banknote,nn,org,275,2,1.0
1.0,1,1,1,0,0.00071303|0.99928697,0.44363636363636366,0.875,0.875,32,11.636363636363637,1.2555286060778998,0.008482113462706772,0.008482113462706772,0.0005897223865003864,0.0011787497744357655,0.875,0.875,0.875,1.0,0.5435644431995964,0.5435644431995964,banknote,nn,org,275,2,1.0
2.0,0,0,0,0,0.96549453|0.03450547,0.44363636363636366,0.3333333333333333,0.3333333333333333,3,1.090909090909091,0.11770580681980311,0.2165061162068665,0.2165061162068665,0.20861372513066012,0.34870246318465026,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.9182958340544894,0.9182958340544894,banknote,nn,org,275,2,1.0
3.0,1,1,1,0,0.00000243|0.99999757,0.44363636363636366,0.875,0.875,32,11.636363636363637,1.2555286060778998,4.886983470698046e-05,4.886983470698046e-05,0.007843521241499405,0.015565272653430755,0.875,0.875,0.875,1.0,0.5435644431995964,0.5435644431995964,banknote,nn,org,275,2,1.0
4.0,1,1,1,0,0.00000004|0.99999996,0.44363636363636366,0.96875,0.96875,32,11.636363636363637,1.2555286060778998,1.0713720590432078e-06,1.0713720590432078e-06,0.007891319704147342,0.0156593886781183,0.96875,0.96875,0.96875,1.0,0.20062232431271465,0.20062232431271465,banknote,nn,org,275,2,1.0
5.0,1,1,1,0,0.00033979|0.99966021,0.44363636363636366,1.0,1.0,7,2.5454545454545454,0.27464688257954056,0.004405579194066493,0.004405579194066493,0.0034868118821398926,0.006949420507864062,1.0,1.0,1.0,1.0,4.1305960435927445e-11,4.1305960435927445e-11,banknote,nn,org,275,2,1.0
6.0,0,0,0,0,1.00000000|0.00000000,0.44363636363636366,0.0,0.0,32,11.636363636363637,1.2555286060778998,2.8732456792690763e-09,2.8732456792690763e-09,0.007892388202960706,0.015661492470106786,1.0,1.0,1.0,1.0,4.1305960435927445e-11,4.1305960435927445e-11,banknote,nn,org,275,2,1.0
7.0,0,0,0,0,1.00000000|0.00000000,0.44363636363636366,0.0,0.0,32,11.636363636363637,1.2555286060778998,9.773032076054353e-09,9.773032076054353e-09,0.007892381303174309,0.01566147888497221,1.0,1.0,1.0,1.0,4.1305960435927445e-11,4.1305960435927445e-11,banknote,nn,org,275,2,1.0
8.0,0,0,0,0,1.00000000|0.00000000,0.44363636363636366,0.0,0.0,9,3.272727272727273,0.3531174204594093,1.989611304706953e-09,1.989611304706953e-09,0.00789238908659508,0.015661494209913078,1.0,1.0,1.0,1.0,4.1305960435927445e-11,4.1305960435927445e-11,banknote,nn,org,275,2,1.0
9.0,1,1,1,0,0.00000010|0.99999990,0.44363636363636366,1.0,1.0,1,0.36363636363636365,0.03923526893993437,2.466853523101479e-06,2.466853523101479e-06,0.007889924222683285,0.01565664107577301,1.0,1.0,1.0,1.0,4.1305960435927445e-11,4.1305960435927445e-11,banknote,nn,org,275,2,1.0
10.0,0,0,0,0,1.00000000|0.00000000,0.44363636363636366,0.0,0.0,19,6.909090909090909,0.745470109858753,2.377878399790735e-08,2.377878399790735e-08,0.007892367297422388,0.01566145130875207,1.0,1.0,1.0,1.0,4.1305960435927445e-11,4.1305960435927445e-11,banknote,nn,org,275,2,1.0
11.0,1,1,1,0,0.00000010|0.99999990,0.44363636363636366,0.90625,0.90625,32,11.636363636363637,1.2555286060778998,2.4986436709803855e-06,2.4986436709803855e-06,0.007889892432535404,0.015656578483176937,0.90625,0.90625,0.90625,1.0,0.4488644887230295,0.4488644887230295,banknote,nn,org,275,2,1.0
