variance,skewness,curtosis,entropy,name,is_train,target,prediction,score_0,score_1
0.51246196,0.6676693,0.1126491,0.6431664,0,0,0,1,0.39222816747682465,0.6077718325231753
0.48427343,0.6540682,0.26071173,0.6408221,1,0,1,0,0.5506829963060353,0.4493170036939646
0.43033078,0.8576422,0.049706224,0.09906718,2,0,0,1,0.48643656488580145,0.5135634351141986
0.54856086,0.58523965,0.25006405,0.8599313,3,0,1,0,0.5436504917420022,0.4563495082579978
0.49414217,0.35108542,0.6030199,0.7658812,4,0,1,0,0.5882287838578952,0.4117712161421048
0.59535265,0.6952742,0.0,0.2503946,5,0,1,0,0.5003157471669546,0.4996842528330454
0.5571744,0.6184693,0.109747544,0.7570155,6,0,0,1,0.39657070074967626,0.6034292992503237
0.60664034,0.636832,0.0,0.7130237,7,0,0,1,0.37255461807895907,0.6274453819210409
0.27584222,0.86097056,0.27414492,0.48367035,8,0,0,1,0.44741213211182174,0.5525878678881783
0.39626595,0.13054912,0.9806492,0.78306663,9,0,1,0,0.5794155233281276,0.4205844766718724
0.44676274,0.7876717,0.07593874,0.4266496,10,0,0,1,0.40848516473422913,0.5915148352657709
0.5472808,0.5724437,0.2732136,0.8191955,11,0,1,0,0.5608112948950374,0.43918870510496255
0.5685687,0.61414564,0.09050298,0.6668074,12,0,0,1,0.39388293803309316,0.6061170619669068
0.68220425,0.29233354,0.29980445,0.8278895,13,0,0,1,0.4255430471393552,0.5744569528606448
0.6203576,0.45742851,0.20977958,0.839744,14,0,0,1,0.4198627215170352,0.5801372784829648
0.68071705,0.3220855,0.276088,0.81112564,15,0,0,1,0.43792750385073853,0.5620724961492615
0.4943042,0.5450368,0.40088058,0.8370418,16,0,1,0,0.5934099023108136,0.4065900976891864
0.5357622,0.3566244,0.5298057,0.8708817,17,0,1,0,0.5668241219674088,0.43317587803259117
0.47349682,0.59462255,0.37584186,0.919327,18,0,1,0,0.5813652123719537,0.41863478762804623
0.35188144,0.80833435,0.20913643,0.30363318,19,0,0,1,0.4490083523698838,0.5509916476301162
0.5018638,0.7624721,0.054188274,0.7428924,20,0,0,1,0.4295555850047692,0.5704444149952308
0.3165706,0.41473112,0.798282,0.7621686,21,0,1,0,0.5940707420300988,0.40592925796990115
0.5359903,0.5813943,0.28086504,0.84918725,22,0,1,0,0.5588991788973755,0.4411008211026245
0.5696097,0.6433288,0.08681991,0.6933982,23,0,0,1,0.4407455211106519,0.5592544788893481
0.5141827,0.6604576,0.14507937,0.8088039,24,0,0,1,0.4206859327278816,0.5793140672721184
0.46352482,0.33342698,0.6496804,0.82328856,25,0,1,0,0.5525953282182389,0.44740467178176113
0.49727455,0.51558363,0.4028683,0.8599944,26,0,1,0,0.5476263259551619,0.45237367404483814
0.5290364,0.70263547,0.13139513,0.46394175,27,0,1,0,0.5502550058739213,0.44974499412607877
0.62049323,0.6581884,0.015499536,0.44924983,28,0,1,0,0.5005031743462565,0.4994968256537436
0.6189516,0.45653594,0.21690027,1.0,29,0,0,1,0.41006742485353065,0.5899325751464694
0.5825346,0.67716944,0.06474828,0.4413312,30,0,1,0,0.5257040586690385,0.4742959413309616
0.5668341,0.6661561,0.11180827,0.5486225,31,0,1,0,0.5352357290416738,0.4647642709583262
0.2882927,0.8451719,0.26699215,0.52762026,32,0,0,1,0.4325955996087195,0.5674044003912805
0.41549793,0.6946778,0.34198806,0.7586151,33,0,1,0,0.5795257272471991,0.4204742727528009
0.54082984,0.37855947,0.50124454,0.85998404,34,0,1,0,0.5723381931570704,0.42766180684292965
0.3041095,0.8263106,0.33002734,0.28678802,35,0,1,0,0.5722209877197216,0.42777901228027837
0.62543994,0.59846,0.0,0.77099055,36,0,0,1,0.34470960079388957,0.6552903992061104
0.4873662,0.32442093,0.63589555,0.8905747,37,0,1,0,0.5652030109398776,0.43479698906012243
0.50966555,0.55364114,0.2837513,0.7861997,38,0,0,1,0.4517057775459228,0.5482942224540772
0.6957508,0.26773137,0.31078196,0.75375086,39,0,0,1,0.4407270001035386,0.5592729998964614
0.2806574,0.8689326,0.3231453,0.18497123,40,0,1,0,0.5908147864248618,0.4091852135751381
0.5815245,0.68787736,0.047369663,0.41182622,41,0,1,0,0.5161809604829075,0.48381903951709243
0.36850923,0.38005722,0.7468715,0.71818405,42,0,1,0,0.5774064846970794,0.4225935153029205
0.64404756,0.41990566,0.22001748,1.0,43,0,0,1,0.4107791691745719,0.5892208308254281
0.21943577,0.93989754,0.36505136,0.48901823,44,0,1,0,0.6072995264678425,0.3927004735321575
0.37504146,0.32517186,0.79428154,0.74586827,45,0,1,0,0.5706726517733882,0.4293273482266117
0.50670266,0.65730137,0.16416183,0.8480176,46,0,0,1,0.4245464026501514,0.5754535973498486
0.5290833,0.7270838,0.0,0.34968856,47,0,0,1,0.3823238360706459,0.6176761639293541
0.71507496,0.2928914,0.24833219,0.8575198,48,0,0,1,0.41801366111838545,0.5819863388816146
0.5197011,0.3507011,0.566839,0.81233406,49,0,1,0,0.5849628986714943,0.4150371013285057
0.56289625,0.50912946,0.302027,0.84387356,50,0,1,0,0.529528113151073,0.47047188684892705
0.27640915,0.85094064,0.28000116,0.5123488,51,0,0,1,0.43726678446351663,0.5627332155364834
0.4117325,0.738234,0.28997725,0.68568647,52,0,1,0,0.5692810917457388,0.4307189082542612
0.6000402,0.5377264,0.15846421,0.86303335,53,0,0,1,0.42682646020874615,0.5731735397912538
0.20325154,0.96688783,0.3559569,0.42317456,54,0,1,0,0.6078668510653116,0.3921331489346885
0.7009876,0.48620236,0.04119714,0.957698,55,0,0,1,0.3758500464066734,0.6241499535933266
0.47496232,0.5321511,0.35047933,0.82542837,56,0,0,1,0.4347941621021395,0.5652058378978605
0.5544981,0.56897,0.24883467,0.7848965,57,0,1,0,0.5342326576505285,0.4657673423494715
0.39171252,0.74622214,0.21243073,0.4407841,58,0,0,1,0.4254840782407634,0.5745159217592366
0.56696856,0.70475394,0.0,0.7521424,59,0,0,1,0.3933740406124061,0.6066259593875939
0.4414894,0.781401,0.1169317,0.62917554,60,0,0,1,0.43219813753711056,0.5678018624628894
0.6986823,0.3079951,0.254393,0.9182206,61,0,0,1,0.40881464394559897,0.591185356054401
0.3813076,0.7632185,0.30125254,0.4287107,62,0,1,0,0.5853011276433217,0.41469887235667835
0.47492367,0.70510554,0.21125565,0.46615827,63,0,1,0,0.5553103016556384,0.4446896983443615
0.5978567,0.63240254,0.038301934,0.80481386,64,0,0,1,0.3972019908263662,0.6027980091736338
0.5464328,0.7312201,0.0,0.4946682,65,0,0,1,0.4173745402282997,0.5826254597717003
0.6777753,0.473838,0.09307522,0.9579961,66,0,0,1,0.38311195378466856,0.6168880462153314
0.66255313,0.43402943,0.16805197,0.8766775,67,0,0,1,0.4075186945681434,0.5924813054318566
0.5579445,0.57113236,0.17847231,0.76684344,68,0,0,1,0.427162652092152,0.572837347907848
0.55502355,0.6895064,0.0,0.39962807,69,0,0,1,0.3732276576439094,0.6267723423560906
0.5449915,0.5491297,0.26647368,0.75828165,70,0,0,0,0.5062761029883247,0.49372389701167524
0.54303414,0.71055883,0.0,0.39039126,71,0,0,1,0.38254291018329045,0.6174570898167095
0.46357027,0.41170123,0.59020126,0.8527252,72,0,1,0,0.5922177989168664,0.4077822010831336
0.6073648,0.28832307,0.4282074,0.82268083,73,0,0,1,0.4504005461762749,0.5495994538237251
0.59043056,0.5839202,0.18780485,0.83692056,74,0,1,0,0.5422906662211437,0.4577093337788563
