variance,skewness,curtosis,entropy,name,is_train,target,prediction,score_0,score_1
0.5788756,0.69566464,0.1275802,0.7371321,0,0,0,0,0.8938295,0.10617049
0.50365907,0.69558764,0.30651826,0.5440305,1,0,1,0,1.0,2.1622222e-09
0.35108858,0.7733269,0.0,0.19779566,2,0,0,1,1.7545691e-06,0.9999982
0.57840973,0.6356558,0.30415332,0.76177746,3,0,1,0,1.0,1.25414195e-08
0.45666948,0.34947708,0.6123228,0.6685796,4,0,1,0,0.99998856,1.1470824e-05
0.6984972,0.7977141,0.098930515,0.15030187,5,0,1,0,1.0,5.826031e-09
0.61864656,0.6416173,0.12207454,0.8452193,6,0,0,1,0.17326565,0.82673436
0.71770257,0.7003869,0.023935363,0.8101194,7,0,0,1,0.06909867,0.93090135
0.25713822,0.8204818,0.22867733,0.58002996,8,0,0,0,0.89181733,0.10818266
0.37207955,0.13863468,0.99779075,0.6868563,9,0,1,0,0.99910945,0.0008904973
0.4916319,0.800504,0.07160082,0.5220527,10,0,0,0,0.68262655,0.31737348
0.55423707,0.6030582,0.30843988,0.72195625,11,0,1,0,0.99999976,2.0666154e-07
0.6346487,0.6333328,0.10470789,0.7602518,12,0,0,1,0.08977734,0.9102226
0.6964794,0.28087613,0.2802973,0.9252249,13,0,0,1,0.00014581016,0.9998542
0.6479682,0.4495156,0.19505319,0.93696547,14,0,0,1,0.00019930565,0.99980074
0.68041235,0.29148054,0.24113166,0.906343,15,0,0,1,2.5291936e-06,0.9999975
0.44933546,0.5358477,0.40085343,0.7424121,16,0,1,0,0.9999691,3.0896546e-05
0.53035575,0.37920988,0.5578221,0.77545464,17,0,1,0,0.9999995,4.8482366e-07
0.44338605,0.6039099,0.3844489,0.8289558,18,0,1,0,0.9999927,7.262446e-06
0.33282927,0.7670556,0.16397685,0.4008939,19,0,0,1,0.23592368,0.76407635
0.51245123,0.7442901,0.030619659,0.83904713,20,0,0,1,2.3652761e-05,0.9999764
0.2705933,0.40344587,0.7999228,0.668822,21,0,1,0,0.9992772,0.0007227919
0.5448507,0.6141305,0.31819463,0.75233674,22,0,1,0,0.9999999,7.487427e-08
0.56125087,0.60971797,0.049391724,0.7900267,23,0,0,1,3.4276152e-07,0.99999964
0.5399051,0.65362114,0.12532622,0.9047694,24,0,0,1,0.0013000645,0.9986999
0.48099357,0.37355593,0.69246966,0.73006594,25,0,1,0,1.0,2.0916653e-08
0.5236996,0.5620969,0.4529909,0.76201993,26,0,1,0,1.0,1.9461593e-10
0.55169576,0.7426639,0.17656316,0.3671971,27,0,1,0,0.9999987,1.3681778e-06
0.71971315,0.7576089,0.11496419,0.3492816,28,0,1,0,1.0,1.1919087e-08
0.6633934,0.46175,0.21301022,1.0,29,0,0,1,0.0027212272,0.99727875
0.6430248,0.7488567,0.13765197,0.34335658,30,0,1,0,0.99999976,1.8207298e-07
0.61234415,0.72500986,0.1739412,0.44986662,31,0,1,0,0.99999976,2.3516067e-07
0.2941256,0.82109916,0.23669416,0.62529606,32,0,0,0,0.99634546,0.0036545575
0.39303592,0.7030975,0.34960303,0.66252816,33,0,1,0,0.9999999,1.7378018e-07
0.52835095,0.39686394,0.523715,0.7644405,34,0,1,0,0.9999993,6.57941e-07
0.29293427,0.84247047,0.3515613,0.18842608,35,0,1,0,1.0,5.014905e-09
0.8251383,0.7106096,0.013921864,0.8545393,36,0,0,0,0.94265205,0.057347875
0.4875704,0.34769595,0.6672677,0.79070526,37,0,1,0,0.99999833,1.6833781e-06
0.4843267,0.5072023,0.23551255,0.8841934,38,0,0,1,6.005114e-05,0.9999399
0.6888064,0.23611978,0.27331546,0.8498189,39,0,0,1,9.147661e-06,0.9999908
0.23868278,0.86415076,0.32473502,0.08978798,40,0,1,0,0.9999994,5.7416196e-07
0.6567907,0.7695305,0.12985507,0.31248656,41,0,1,0,1.0,3.7976005e-08
0.34784198,0.39183116,0.76208544,0.6225853,42,0,1,0,0.9999981,1.8879492e-06
0.68340504,0.42404142,0.21371314,1.0,43,0,0,1,0.00053837086,0.9994616
0.14861938,0.9150999,0.34520563,0.39866617,44,0,1,0,0.99998987,1.0130802e-05
0.36566138,0.34444427,0.8203164,0.64667195,45,0,1,0,0.9999988,1.185698e-06
0.5233621,0.6445621,0.14971387,0.94495344,46,0,0,1,0.0010361617,0.99896383
0.6817392,0.8053834,0.0,0.4346656,47,0,0,0,0.99209267,0.007907299
0.7427262,0.2891606,0.23891076,0.95185286,48,0,0,1,4.0358344e-05,0.9999596
0.48532763,0.34908792,0.5765899,0.71578413,49,0,1,0,0.99997973,2.024281e-05
0.6181685,0.57463956,0.37018332,0.7458005,50,0,1,0,1.0,1.4768174e-10
0.2750658,0.8206352,0.2463023,0.6108906,51,0,0,0,0.9937966,0.006203399
0.39993724,0.7611674,0.3187488,0.5908784,52,0,1,0,1.0,2.6999015e-08
0.61146396,0.5223755,0.13537672,0.9536678,53,0,0,1,3.4485647e-06,0.99999654
0.13848734,0.9435156,0.33689168,0.33161885,54,0,1,0,0.9999945,5.526473e-06
0.79740316,0.53151315,0.07714232,1.0,55,0,0,1,0.001398383,0.9986016
0.4767951,0.5078983,0.31913087,0.92038286,56,0,0,1,0.07885995,0.9211401
0.60118675,0.6300808,0.31272602,0.6872195,57,0,1,0,1.0,8.11754e-10
0.41075566,0.73430306,0.18925297,0.5322179,58,0,0,0,0.9898212,0.01017882
0.65331185,0.7418878,0.0,0.84655124,59,0,0,1,0.0014047821,0.9985952
0.44918546,0.7593885,0.0876733,0.7249076,60,0,0,1,0.0047298884,0.9952701
0.7421637,0.31579512,0.249183,1.0,61,0,0,1,0.0002955009,0.9997044
0.3465872,0.7648868,0.31143272,0.3346422,62,0,1,0,0.99999917,8.327946e-07
0.4896689,0.74103624,0.25227675,0.36647636,63,0,1,0,1.0,2.2492957e-08
0.6615977,0.65230405,0.05016797,0.8982335,64,0,0,1,0.0005709297,0.99942905
0.6135264,0.752496,0.0,0.5877709,65,0,0,1,0.0064606583,0.9935394
0.7636609,0.5055746,0.11930337,1.0,66,0,0,1,0.0033533324,0.9966467
