variance,skewness,curtosis,entropy,name,is_train,target,prediction,score_0,score_1
0.5788756,0.69566464,0.1275802,0.7371321,0,0,0,0,0.99260086,0.007399098
0.50365907,0.69558764,0.30651826,0.5440305,1,0,1,0,1.0,1.250711e-09
0.35108858,0.7733269,0.0,0.19779566,2,0,0,1,6.190777e-08,0.9999999
0.57840973,0.6356558,0.30415332,0.76177746,3,0,1,0,1.0,4.060404e-09
0.45666948,0.34947708,0.6123228,0.6685796,4,0,1,0,0.99999785,2.1936166e-06
0.6984972,0.7977141,0.098930515,0.15030187,5,0,1,0,1.0,3.916197e-09
0.61864656,0.6416173,0.12207454,0.8452193,6,0,0,0,0.91141945,0.08858057
0.71770257,0.7003869,0.023935363,0.8101194,7,0,0,0,0.93204737,0.06795264
0.25713822,0.8204818,0.22867733,0.58002996,8,0,0,0,0.98145825,0.018541774
0.37207955,0.13863468,0.99779075,0.6868563,9,0,1,0,0.9999782,2.1834394e-05
0.4916319,0.800504,0.07160082,0.5220527,10,0,0,0,0.79937506,0.20062493
0.55423707,0.6030582,0.30843988,0.72195625,11,0,1,0,0.9999999,7.921584e-08
0.6346487,0.6333328,0.10470789,0.7602518,12,0,0,0,0.73539543,0.26460457
0.6964794,0.28087613,0.2802973,0.9252249,13,0,0,1,0.014644571,0.9853555
0.6479682,0.4495156,0.19505319,0.93696547,14,0,0,1,0.013900028,0.9861
0.68041235,0.29148054,0.24113166,0.906343,15,0,0,1,0.00024707758,0.99975294
0.44933546,0.5358477,0.40085343,0.7424121,16,0,1,0,0.9999902,9.747246e-06
0.53035575,0.37920988,0.5578221,0.77545464,17,0,1,0,0.9999999,1.3119231e-07
0.44338605,0.6039099,0.3844489,0.8289558,18,0,1,0,0.99999845,1.5427848e-06
0.33282927,0.7670556,0.16397685,0.4008939,19,0,0,1,0.22859369,0.77140623
0.51245123,0.7442901,0.030619659,0.83904713,20,0,0,1,0.00026014275,0.9997398
0.2705933,0.40344587,0.7999228,0.668822,21,0,1,0,0.99998724,1.2761902e-05
0.5448507,0.6141305,0.31819463,0.75233674,22,0,1,0,1.0,3.11929e-08
0.56125087,0.60971797,0.049391724,0.7900267,23,0,0,1,5.026427e-06,0.999995
0.5399051,0.65362114,0.12532622,0.9047694,24,0,0,1,0.024673399,0.97532666
0.48099357,0.37355593,0.69246966,0.73006594,25,0,1,0,1.0,1.6979701e-09
0.5236996,0.5620969,0.4529909,0.76201993,26,0,1,0,1.0,4.7037093e-11
0.55169576,0.7426639,0.17656316,0.3671971,27,0,1,0,0.9999989,1.1047516e-06
0.71971315,0.7576089,0.11496419,0.3492816,28,0,1,0,1.0,4.2348627e-09
0.6633934,0.46175,0.21301022,1.0,29,0,0,1,0.30395758,0.69604236
0.6430248,0.7488567,0.13765197,0.34335658,30,0,1,0,0.9999999,1.0277055e-07
0.61234415,0.72500986,0.1739412,0.44986662,31,0,1,0,0.9999999,1.1676122e-07
0.2941256,0.82109916,0.23669416,0.62529606,32,0,0,0,0.9993999,0.00060013647
0.39303592,0.7030975,0.34960303,0.66252816,33,0,1,0,1.0,2.9688893e-08
0.52835095,0.39686394,0.523715,0.7644405,34,0,1,0,0.99999976,2.5729304e-07
0.29293427,0.84247047,0.3515613,0.18842608,35,0,1,0,1.0,1.3931621e-10
0.8251383,0.7106096,0.013921864,0.8545393,36,0,0,0,0.99993527,6.474095e-05
0.4875704,0.34769595,0.6672677,0.79070526,37,0,1,0,0.9999999,1.2125277e-07
0.4843267,0.5072023,0.23551255,0.8841934,38,0,0,1,0.0003800816,0.99961984
0.6888064,0.23611978,0.27331546,0.8498189,39,0,0,1,0.0005520394,0.999448
0.23868278,0.86415076,0.32473502,0.08978798,40,0,1,0,1.0,1.2026553e-08
0.6567907,0.7695305,0.12985507,0.31248656,41,0,1,0,1.0,1.952825e-08
0.34784198,0.39183116,0.76208544,0.6225853,42,0,1,0,0.9999999,7.9473416e-08
0.68340504,0.42404142,0.21371314,1.0,43,0,0,1,0.09373631,0.9062637
0.14861938,0.9150999,0.34520563,0.39866617,44,0,1,0,1.0,2.4574021e-08
0.36566138,0.34444427,0.8203164,0.64667195,45,0,1,0,1.0,4.4866997e-08
0.5233621,0.6445621,0.14971387,0.94495344,46,0,0,1,0.02335179,0.97664815
0.6817392,0.8053834,0.0,0.2346656,47,0,0,0,0.9995084,0.0004915702
0.7427262,0.2891606,0.23891076,0.95185286,48,0,0,1,0.010066557,0.98993343
0.48532763,0.34908792,0.5765899,0.71578413,49,0,1,0,0.99999404,5.9734207e-06
0.6181685,0.57463956,0.37018332,0.7458005,50,0,1,0,1.0,7.319497e-11
0.2750658,0.8206352,0.2463023,0.6108906,51,0,0,0,0.99917287,0.00082711346
0.39993724,0.7611674,0.3187488,0.5908784,52,0,1,0,1.0,3.6180032e-09
0.61146396,0.5223755,0.13537672,0.9536678,53,0,0,1,0.00022170707,0.99977833
0.13848734,0.9435156,0.33689168,0.33161885,54,0,1,0,1.0,1.1743657e-08
0.79740316,0.53151315,0.07714232,1.0,55,0,0,0,0.5499342,0.4500658
0.4767951,0.5078983,0.31913087,0.92038286,56,0,0,0,0.50290775,0.49709228
0.60118675,0.6300808,0.31272602,0.6872195,57,0,1,0,1.0,4.901714e-10
0.41075566,0.73430306,0.18925297,0.5322179,58,0,0,0,0.9842333,0.015766598
0.65331185,0.7418878,0.0,0.84655124,59,0,0,1,0.1881281,0.8118719
0.44918546,0.7593885,0.0876733,0.7249076,60,0,0,1,0.02333255,0.9766674
0.7421637,0.31579512,0.249183,1.0,61,0,0,1,0.09622651,0.90377355
0.3465872,0.7648868,0.31143272,0.3346422,62,0,1,0,1.0,5.8960133e-08
0.4896689,0.74103624,0.25227675,0.36647636,63,0,1,0,1.0,1.8253854e-08
0.6615977,0.65230405,0.05016797,0.8982335,64,0,0,1,0.08351826,0.9164818
0.6135264,0.752496,0.0,0.5877709,65,0,0,1,0.07191572,0.9280843
0.7636609,0.5055746,0.11930337,1.0,66,0,0,0,0.6636608,0.33633915
0.7104407,0.4432439,0.16279438,0.9706136,67,0,0,1,0.023214608,0.9767854
0.57292616,0.5550532,0.15411085,0.8628905,68,0,0,1,0.0054331515,0.9945668
0.7407142,0.79624575,0.0,0.28598773,69,0,0,0,0.99998045,1.9553203e-05
0.43522415,0.44192937,0.15954453,0.8585342,70,0,0,1,1.6546164e-10,1.0
0.6902775,0.7988763,0.0,0.4821126,71,0,0,0,0.99898654,0.0010134681
0.42211238,0.40367785,0.59007925,0.76117283,72,0,1,0,0.9999653,3.464922e-05
0.58253896,0.24417225,0.3833518,0.9202621,73,0,0,1,0.00024291649,0.9997571
0.62533087,0.6368173,0.24322063,0.7413226,74,0,1,0,1.0,5.172697e-08
0.3835118,0.3910566,0.45747843,0.9678299,75,0,0,1,3.436982e-05,0.99996567
0.32444814,0.3878049,0.7622666,0.6051528,76,0,1,0,0.9999995,5.2837675e-07
0.539119,0.668177,0.12732154,0.93708616,77,0,0,1,0.05669235,0.9433077
0.5034874,0.45400807,0.37082848,0.8614387,78,0,0,0,0.9763199,0.023680111
0.5182406,0.5511033,0.3042275,0.68044084,79,0,1,0,0.9999485,5.146037e-05
0.51110125,0.5376289,0.44804022,0.7569364,80,0,1,0,1.0,1.3832494e-09
0.7716656,0.56116736,0.06520546,0.9809014,81,0,0,1,0.3667058,0.6332942
0.39210567,0.3674417,0.7000078,0.87046844,82,0,1,0,0.9998311,0.00016892298
0.5036014,0.2996131,0.7084688,0.790826,83,0,1,0,0.9999999,1.1069056e-07
0.7149406,0.8380573,0.0,0.2933636,84,0,0,0,0.9999958,4.1750773e-06
0.31986168,0.7134737,0.354,0.59159917,85,0,1,0,0.9999993,7.517391e-07
0.56737334,0.19686395,0.46191165,0.82028645,86,0,0,1,0.0069909194,0.9930091
0.47769797,0.36039582,0.6159065,0.80946785,87,0,1,0,0.99999535,4.706459e-06
0.15089098,0.96279365,0.32750627,0.0650957,88,0,1,0,1.0,2.5191242e-09
0.60853195,0.7486247,0.13684122,0.2873169,89,0,1,0,0.9999989,1.0381972e-06
