variance,skewness,curtosis,entropy,name,is_train,target,prediction,score_0,score_1
0.5788756,0.69566464,0.1275802,0.7371321,0,0,0,0,0.8568016,0.14319834
0.50365907,0.69558764,0.30651826,0.5440305,1,0,1,0,1.0,1.8625731e-09
0.35108858,0.7733269,0.0,0.19779566,2,0,0,1,1.6229299e-07,0.9999999
0.57840973,0.6356558,0.30415332,0.76177746,3,0,1,0,1.0,8.048875e-09
0.45666948,0.34947708,0.6123228,0.6685796,4,0,1,0,0.9998599,0.00014005079
0.6984972,0.7977141,0.098930515,0.15030187,5,0,1,0,1.0,3.881373e-09
0.61864656,0.6416173,0.12207454,0.8452193,6,0,0,1,0.07438221,0.92561775
0.71770257,0.7003869,0.023935363,0.8101194,7,0,0,1,0.019505925,0.980494
0.25713822,0.8204818,0.22867733,0.58002996,8,0,0,0,0.89004487,0.10995515
0.37207955,0.13863468,0.99779075,0.6868563,9,0,1,0,0.9007846,0.099215396
0.4916319,0.800504,0.07160082,0.5220527,10,0,0,0,0.7274726,0.27252743
0.55423707,0.6030582,0.30843988,0.72195625,11,0,1,0,0.9999999,9.555125e-08
0.6346487,0.6333328,0.10470789,0.7602518,12,0,0,1,0.044781737,0.9552182
0.6964794,0.28087613,0.2802973,0.9252249,13,0,0,1,0.0001247542,0.9998752
0.6479682,0.4495156,0.19505319,0.93696547,14,0,0,1,0.00013390894,0.9998661
0.68041235,0.29148054,0.24113166,0.906343,15,0,0,1,1.2648762e-06,0.9999987
0.44933546,0.5358477,0.40085343,0.7424121,16,0,1,0,0.99984527,0.00015465685
0.53035575,0.37920988,0.5578221,0.77545464,17,0,1,0,0.99999845,1.5203675e-06
0.44338605,0.6039099,0.3844489,0.8289558,18,0,1,0,0.9999746,2.539733e-05
0.33282927,0.7670556,0.16397685,0.4008939,19,0,0,1,0.2187947,0.78120536
0.51245123,0.7442901,0.030619659,0.83904713,20,0,0,1,3.1682293e-06,0.9999968
0.2705933,0.40344587,0.7999228,0.668822,21,0,1,0,0.97455424,0.02544581
0.5448507,0.6141305,0.31819463,0.75233674,22,0,1,0,1.0,4.2467228e-08
0.56125087,0.60971797,0.049391724,0.7900267,23,0,0,1,3.7678895e-08,1.0
0.5399051,0.65362114,0.12532622,0.9047694,24,0,0,1,0.00066735613,0.9993326
0.48099357,0.37355593,0.69246966,0.73006594,25,0,1,0,0.9999995,4.2021014e-07
0.5236996,0.5620969,0.4529909,0.76201993,26,0,1,0,1.0,1.3672437e-09
0.55169576,0.7426639,0.17656316,0.3671971,27,0,1,0,0.99999976,2.0699764e-07
0.71971315,0.7576089,0.11496419,0.3492816,28,0,1,0,1.0,1.12288765e-08
0.6633934,0.46175,0.21301022,1.0,29,0,0,1,0.0017139211,0.99828607
0.6430248,0.7488567,0.13765197,0.34335658,30,0,1,0,1.0,4.2018932e-08
0.61234415,0.72500986,0.1739412,0.44986662,31,0,1,0,0.9999999,6.759993e-08
0.2941256,0.82109916,0.23669416,0.62529606,32,0,0,0,0.9967527,0.003247255
0.39303592,0.7030975,0.34960303,0.66252816,33,0,1,0,0.9999993,7.2291147e-07
0.52835095,0.39686394,0.523715,0.7644405,34,0,1,0,0.999998,2.0041168e-06
0.29293427,0.84247047,0.3515613,0.38842607,35,0,1,0,0.9999999,7.447745e-08
0.8251383,0.7106096,0.013921864,0.8545393,36,0,0,0,0.71608603,0.28391397
0.4875704,0.34769595,0.6672677,0.79070526,37,0,1,0,0.9999919,8.050788e-06
0.4843267,0.5072023,0.23551255,0.8841934,38,0,0,1,2.4047073e-05,0.9999759
0.6888064,0.23611978,0.27331546,0.8498189,39,0,0,1,5.9321487e-06,0.99999404
0.23868278,0.86415076,0.32473502,0.28978798,40,0,1,0,0.9999963,3.6619872e-06
0.6567907,0.7695305,0.12985507,0.31248656,41,0,1,0,1.0,1.2069847e-08
0.34784198,0.39183116,0.76208544,0.6225853,42,0,1,0,0.99982697,0.00017309346
0.68340504,0.42404142,0.21371314,1.0,43,0,0,1,0.00034691577,0.9996531
0.14861938,0.9150999,0.34520563,0.39866617,44,0,1,0,0.99994123,5.8723657e-05
0.36566138,0.34444427,0.8203164,0.64667195,45,0,1,0,0.9998467,0.0001532517
0.5233621,0.6445621,0.14971387,0.94495344,46,0,0,1,0.00042864995,0.9995714
0.6817392,0.8053834,0.0,0.4346656,47,0,0,0,0.99453,0.005470043
0.7427262,0.2891606,0.23891076,0.95185286,48,0,0,1,3.104064e-05,0.999969
0.48532763,0.34908792,0.5765899,0.71578413,49,0,1,0,0.99988043,0.00011949529
0.6181685,0.57463956,0.37018332,0.7458005,50,0,1,0,1.0,9.608845e-11
0.2750658,0.8206352,0.2463023,0.6108906,51,0,0,0,0.99275535,0.0072446303
0.39993724,0.7611674,0.3187488,0.5908784,52,0,1,0,1.0,3.261614e-08
0.61146396,0.5223755,0.13537672,0.9536678,53,0,0,1,1.6107422e-06,0.99999833
0.13848734,0.9435156,0.33689168,0.33161885,54,0,1,0,0.99996495,3.5038218e-05
0.79740316,0.53151315,0.07714232,1.0,55,0,0,1,0.0001847895,0.9998153
0.4767951,0.5078983,0.31913087,0.92038286,56,0,0,1,0.09851524,0.9014848
0.60118675,0.6300808,0.31272602,0.6872195,57,0,1,0,1.0,4.4019294e-10
