variance,skewness,curtosis,entropy,name,is_train,target,prediction,score_0,score_1
0.6094571,0.67579514,0.06925787,0.64008534,0,0,0,1,0.08756318776828778,0.9124368122317124
0.4335387,0.628243,0.24860907,0.6401299,1,0,1,0,0.6649565915410021,0.335043408458998
0.41804448,0.7586318,0.025677279,0.11416744,2,0,0,1,0.2804463844908614,0.7195536155091384
0.52756757,0.578107,0.26926252,0.83569354,3,0,1,0,0.7455040409519045,0.25449595904809563
0.43587014,0.3131399,0.5454664,0.7336423,4,0,1,0,0.7225542508534438,0.27744574914655606
0.6089018,0.7583486,0.034749422,0.24638355,5,0,1,0,0.641770614890882,0.35822938510911795
0.64303297,0.64896506,0.08694544,0.7649174,6,0,0,1,0.12519901098256306,0.8748009890174371
0.74991214,0.69615287,0.0,0.7144699,7,0,0,1,0.18701286549989174,0.8129871345001083
0.22334442,0.7618145,0.23569274,0.4538209,8,0,0,1,0.11537909750020532,0.8846209024997945
0.47916973,0.26927876,0.8581751,0.7216585,9,0,1,0,0.8267745203839217,0.17322547961607812
0.5432494,0.72513205,0.044320032,0.42213568,10,0,0,1,0.08539147321347902,0.914608526786521
0.5126926,0.55047446,0.28697413,0.7956345,11,0,1,0,0.7866666335193099,0.21333336648069
0.6703834,0.64455265,0.069729105,0.6635939,12,0,0,1,0.12931486715158313,0.8706851328484168
0.6639717,0.32514027,0.25085565,0.89730793,13,0,0,1,0.13511833871744242,0.8648816612825575
0.6658847,0.4991925,0.17922501,0.8759209,14,0,0,1,0.16579782666911783,0.8342021733308823
0.672945,0.35411257,0.21896721,0.8576864,15,0,0,1,0.16266933336599243,0.8373306666340076
0.43690342,0.50750333,0.39269048,0.8004978,16,0,1,0,0.842281841539294,0.15771815846070583
0.4983235,0.3276208,0.49705407,0.8360835,17,0,1,0,0.7165255574121274,0.2834744425878728
0.42497796,0.5874531,0.37889978,0.8804263,18,0,1,0,0.8407207722941572,0.15927922770584282
0.34624872,0.7273866,0.1902451,0.28783375,19,0,0,1,0.17000934766389983,0.8299906523361003
0.570747,0.75217575,0.044483215,0.7563237,20,0,0,1,0.20127427495084518,0.7987257250491547
0.2726399,0.42602178,0.727819,0.7358989,21,0,1,0,0.7285889977442674,0.27141100225573245
0.5032154,0.56618714,0.29519448,0.8242782,22,0,1,0,0.7887893892421411,0.21121061075785882
0.6323684,0.6680139,0.08853403,0.69210255,23,0,0,1,0.2872550344213424,0.7127449655786575
0.57941276,0.675379,0.1229438,0.83172137,24,0,0,1,0.17090031288432211,0.8290996871156778
0.4344445,0.31875902,0.6087772,0.8025051,25,0,1,0,0.6454543665091167,0.3545456334908833
0.45879403,0.48974636,0.38692293,0.8421793,26,0,1,0,0.6497998344371692,0.35020016556283085
0.48817414,0.7169471,0.146058,0.47263288,27,0,1,0,0.7661883089658099,0.2338116910341901
0.64041907,0.7195121,0.0765141,0.45507023,28,0,1,0,0.7156309202336038,0.2843690797663962
0.68712395,0.51341665,0.22926995,1.0,29,0,0,1,0.41567856409091103,0.584321435909089
0.56980085,0.72044563,0.10469438,0.44616768,30,0,1,0,0.7458155814185384,0.2541844185814614
0.54592043,0.68423575,0.14357378,0.553244,31,0,1,0,0.7506588776602734,0.2493411223397266
0.26282403,0.7322744,0.21172984,0.5026742,32,0,0,1,0.07420245330899947,0.9257975466910003
0.34420004,0.6610537,0.31175002,0.7457218,33,0,1,0,0.741880853806421,0.2581191461935791
