variance,skewness,curtosis,entropy,name,is_train,target,prediction,score_0,score_1
0.55612993,0.630022,0.03201148,0.57716936,0,0,0,1,1.2888366738101912e-07,0.9999998711163326
0.43471727,0.6270117,0.23832677,0.6226843,1,0,1,0,0.5251103864095179,0.47488961359048193
0.40168905,0.7803735,0.012548452,0.13315839,2,0,0,1,0.3951176207030406,0.6048823792969594
0.52341104,0.5777546,0.25837162,0.83967155,3,0,1,0,0.5194695330205218,0.4805304669794783
0.4555053,0.27536568,0.5350114,0.74772626,4,0,1,0,0.5,0.5
0.63500047,0.77991563,0.06875214,0.23086059,5,0,1,0,0.9597599299945286,0.040240070005471355
0.6507418,0.65452725,0.115837365,0.808008,6,0,0,1,0.48956110959610233,0.5104388904038978
0.7850845,0.6983116,0.009995118,0.7667426,7,0,0,1,0.49464651551036776,0.5053534844896324
0.23871063,0.80685043,0.22751586,0.38047567,8,0,0,1,0.4946452609080181,0.5053547390919819
0.5415798,0.3051334,1.0,0.68129647,9,0,1,0,0.8838662598238655,0.11613374017613451
0.6175578,0.7015527,0.0,0.44650358,10,0,0,1,0.010241146662550644,0.9897588533374493
0.5075842,0.55065686,0.27105534,0.794646,11,0,1,0,0.5090580192778658,0.49094198072213446
0.67517185,0.6422699,0.0972045,0.6306947,12,0,0,1,0.49492069050300774,0.5050793094969924
0.70924795,0.28243947,0.27770728,0.922818,13,0,0,1,0.49247470523728104,0.5075252947627188
0.6795958,0.48306915,0.21308735,0.90484756,14,0,0,1,0.49287080290556756,0.5071291970944325
0.70497954,0.31242487,0.24639404,0.88149154,15,0,0,1,0.4943851706988679,0.5056148293011321
0.42095664,0.50490177,0.3790003,0.78910667,16,0,1,0,0.574771443836204,0.42522855616379596
0.49032342,0.33283943,0.51206774,0.822971,17,0,1,0,0.8157617186194235,0.18423828138057652
0.41603994,0.583471,0.36648554,0.8758891,18,0,1,0,0.6448075794128617,0.3551924205871384
0.33746132,0.76451623,0.19137374,0.22915055,19,0,0,1,0.49367595351994353,0.5063240464800565
0.5634197,0.77551305,0.055852845,0.786365,20,0,0,1,0.4915275620682938,0.5084724379317062
0.259279,0.39346635,0.78902954,0.71588576,21,0,1,0,0.5,0.5
0.49767312,0.5639599,0.28007525,0.8239509,22,0,1,0,0.5,0.5
0.6360837,0.66361856,0.08616622,0.6458282,23,0,0,1,0.26264318011359283,0.7373568198864071
0.58019197,0.6878092,0.14794546,0.8623068,24,0,0,1,0.4923228788172357,0.5076771211827644
0.45662564,0.34531346,0.64685243,0.77285564,25,0,1,0,0.9762085932377236,0.023791406762276326
0.45258206,0.48992968,0.38212648,0.8368526,26,0,1,0,0.5555405614582758,0.44445943854172415
0.49083337,0.7062535,0.13579045,0.4615416,27,0,1,0,0.5,0.5
0.6203419,0.7241981,0.08085134,0.44927666,28,0,1,0,0.7358975785942635,0.26410242140573637
