variance,skewness,curtosis,entropy,name,is_train,target,prediction,score_0,score_1
0.5069257,0.6623144,0.21838681,0.633894,0,0,0,1,0.0010228907596803172,0.9989771092403197
0.49369335,0.59641993,0.23838857,0.64349306,1,0,1,0,0.7758170519261111,0.22418294807388892
0.40192407,0.7313202,0.04640862,0.096481495,2,0,0,1,0.4418756198626044,0.5581243801373956
0.5431357,0.5346908,0.25132936,0.8588942,3,0,1,0,0.8144077881292514,0.18559221187074862
0.40075165,0.47685495,0.53721786,0.7725913,4,0,1,0,0.9694823923748739,0.03051760762512615
0.59854233,0.7148322,0.0,0.25002134,5,0,1,0,0.6640393581501739,0.3359606418498261
0.66394836,0.64925545,0.14362036,0.7427119,6,0,0,1,0.14034294881497877,0.8596570511850212
0.71626204,0.66821957,0.08892328,0.71071535,7,0,0,1,0.10683932321129697,0.893160676788703
0.35666177,0.70047385,0.31500837,0.4818166,8,0,0,1,0.00039583932343645323,0.9996041606765635
0.5119842,0.04515267,0.9001556,0.7816502,9,0,1,0,0.9999006587828037,9.93412171963962e-05
0.5900852,0.68110836,0.09705371,0.42272434,10,0,0,1,0.03157480226039877,0.9684251977396012
0.49460477,0.51735747,0.25089052,0.7766036,11,0,1,0,0.5861771857153953,0.41382281428460466
0.71438473,0.6602034,0.097034596,0.66388625,12,0,0,1,0.030456783170189516,0.9695432168298105
0.44494566,0.379881,0.38049185,0.8274756,13,0,0,1,3.3520047848512036e-08,0.9999999664799522
0.6232101,0.5358256,0.20478587,0.8379601,14,0,0,1,0.07024157261917174,0.9297584273808283
0.70051026,0.38076502,0.1664589,0.80561197,15,0,0,1,0.022712536706663733,0.9772874632933363
0.51321703,0.43578103,0.32512522,0.845373,16,0,1,0,0.5590571104617741,0.4409428895382259
0.49719828,0.27912995,0.4581606,0.8764519,17,0,1,0,0.9926822802870435,0.007317719712956437
0.5023493,0.5129727,0.33230874,0.931571,18,0,1,0,0.825777612492188,0.17422238750781208
0.28664535,0.800305,0.2552862,0.3022165,19,0,0,1,0.013344539798583188,0.9866554602014168
0.61486787,0.68230724,0.12672423,0.7373742,20,0,0,1,0.4567666742472909,0.5432333257527091
0.5263555,0.28768158,0.70358026,0.7794125,21,0,1,0,0.9999985931050865,1.406894913507897e-06
0.5369761,0.51936895,0.25425625,0.8538939,22,0,1,0,0.7618746486937997,0.23812535130620027
0.6271859,0.6737539,0.1469979,0.6900269,23,0,0,1,0.30122052281301637,0.6987794771869836
0.56393427,0.65269375,0.21547832,0.80510324,24,0,0,1,0.04828060015558544,0.9517193998444146
0.4962095,0.28201735,0.5920753,0.8307229,25,0,1,0,0.9999885825824053,1.1417417594741653e-05
0.48994046,0.46181312,0.35472554,0.86169153,26,0,1,0,0.7352956831968076,0.26470431680319234
0.45150232,0.72668463,0.075294524,0.46608368,27,0,1,0,0.5093814886724661,0.4906185113275339
0.6206791,0.71765876,0.022660282,0.44897026,28,0,1,0,0.9672676105034075,0.03273238949659257
0.51720464,0.5630053,0.292975,1.0,29,0,0,1,0.0013408555502596453,0.9986591444497404
0.54321504,0.7192079,0.038484856,0.4443629,30,0,1,0,0.9996788264225297,0.0003211735774703539
0.5146553,0.624071,0.25794265,0.5511773,31,0,1,0,0.9862285906191325,0.013771409380867565
0.24113016,0.87844026,0.3157013,0.5245283,32,0,0,1,0.2382564861372818,0.7617435138627182
0.32111314,0.7185732,0.27586126,0.7621603,33,0,1,0,0.5569823208821677,0.4430176791178323
0.4972721,0.29844052,0.42427567,0.86438215,34,0,1,0,0.9952770798777464,0.004722920122253572
0.26289797,0.8197299,0.25095883,0.2919988,35,0,1,0,0.976517773336269,0.023482226663731044
0.72045416,0.6396179,0.09517635,0.7501337,36,0,0,1,0.026526982988102188,0.9734730170118978
0.50300753,0.2473773,0.56341666,0.8899741,37,0,1,0,0.9996346996195825,0.0003653003804174344
0.467043,0.6072588,0.33579823,0.7916072,38,0,0,1,0.015821910683456286,0.9841780893165437
0.43821234,0.33714923,0.37025228,0.75135136,39,0,0,1,2.044818719904029e-07,0.999999795518128
0.13683997,0.76743513,0.4625931,0.19273674,40,0,1,0,0.9501390574806735,0.04986094251932651
0.5565364,0.7161792,0.029738564,0.41450465,41,0,1,0,0.997130411157155,0.002869588842845082
0.2486919,0.5460504,0.66364664,0.7204755,42,0,1,0,0.9989646952178761,0.0010353047821238762
0.57001066,0.48,0.310317,0.99485487,43,0,0,1,0.015641255351607652,0.9843587446483923
0.21499528,0.8872113,0.24094318,0.49888358,44,0,1,0,0.9127247723240584,0.08727522767594163
0.50941706,0.25745052,0.7316109,0.7390818,45,0,1,0,0.9999981685208678,1.831479132231171e-06
0.5440098,0.70521325,0.22205465,0.8477235,46,0,0,1,0.256019543185225,0.743980456814775
0.77666104,0.6822281,0.011595604,0.3411412,47,0,0,1,0.39477949968677206,0.6052205003132279
0.6519292,0.38267022,0.22830035,0.85285234,48,0,0,1,0.16615471237883161,0.8338452876211684
0.5032802,0.24746908,0.47547525,0.81539464,49,0,1,0,0.9996145644478736,0.0003854355521264355
0.5162093,0.5144995,0.2674542,0.79556596,50,0,1,0,0.6302329660331396,0.36976703396686045
0.35700953,0.7030356,0.3363825,0.5146501,51,0,0,1,0.0009101704004127464,0.9990898295995873
0.4999797,0.66860974,0.24350668,0.6927994,52,0,1,0,0.9945359317197264,0.0054640682802735265
0.6664763,0.60953325,0.14298724,0.8544711,53,0,0,1,0.010042607648473645,0.9899573923515264
0.039015666,0.9038208,0.3650486,0.43316612,54,0,1,0,0.9863248715344107,0.013675128465589286
0.72140425,0.63045734,0.10230029,0.94859535,55,0,0,1,0.09526639716194207,0.9047336028380579
0.4600997,0.60776097,0.4155054,0.8216439,56,0,0,1,0.2397911795851152,0.7602088204148848
0.50067407,0.5300743,0.2461778,0.7848968,57,0,1,0,0.56997896372703,0.43002103627297
0.45890602,0.6955676,0.2898276,0.43353078,58,0,0,1,0.4997504094245654,0.5002495905754346
0.7243596,0.6420091,0.09314613,0.7443887,59,0,0,1,0.026526982988102188,0.9734730170118978
0.339366,0.78896165,0.18751514,0.62907517,60,0,0,1,0.4606477447758226,0.5393522552241774
0.5616031,0.42237628,0.29334387,0.925842,61,0,0,1,0.000326617318255229,0.9996733826817448
0.31399074,0.7440885,0.27018702,0.43502375,62,0,1,0,0.7304268283690865,0.26957317163091354
0.3890711,0.72709656,0.15614542,0.4664406,63,0,1,0,0.548168680375313,0.45183131962468703
0.7277364,0.6627852,0.10552118,0.7982795,64,0,0,1,0.09474688426913613,0.9052531157308639
0.71676695,0.6895937,0.028820882,0.48655185,65,0,0,1,0.014358539701661344,0.9856414602983387
0.7202067,0.60484934,0.099043146,0.94856894,66,0,0,1,0.006759388536263011,0.993240611463737
0.7819908,0.5379538,0.07812494,0.8733214,67,0,0,1,0.19452813485398934,0.8054718651460107
0.45416293,0.651961,0.2490357,0.771383,68,0,0,1,0.0005335126325561879,0.9994664873674438
0.8035121,0.7011101,0.0,0.391048,69,0,0,1,0.03887623119899597,0.961123768801004
