GLCM_Pan,Mean_G,Mean_R,Mean_NIR,SD_Plan,name,is_train,target,prediction,score_0,score_1
0.6370181,0.04671727,0.021285884,0.22927009,0.31337583,0,0,0,0,0.99999607,3.890851e-06
0.6760771,0.05818179,0.029614309,0.3556339,0.15613669,1,0,0,0,0.99998343,1.6597643e-05
0.61400455,0.05270394,0.02347606,0.2540061,0.115244396,2,0,0,0,0.9999969,3.083972e-06
0.6814003,0.05987932,0.032259595,0.32520646,0.22640488,3,0,0,0,0.99996066,3.9303886e-05
0.6915904,0.04875916,0.027208012,0.27003017,0.15230742,4,0,0,0,0.99853516,0.0014648854
0.71377033,0.13158101,0.11779577,0.17999245,0.15364239,5,0,0,0,1.0,4.5062055e-14
0.7175851,0.072312646,0.04092082,0.39426845,0.16686392,6,0,0,0,0.9999944,5.5959385e-06
0.72169375,0.09729155,0.08057158,0.19517826,0.15363108,7,0,0,0,0.9999999,8.9488076e-08
0.74209523,0.055221945,0.02605401,0.3295874,0.19005375,8,0,0,0,0.9999944,5.5561404e-06
0.7915633,0.059143465,0.03347161,0.27873996,0.17513567,9,0,0,0,0.9997341,0.000265829
0.60390013,0.07479343,0.05034231,0.27432644,0.12700267,10,0,0,0,0.9999486,5.1365845e-05
0.6748423,0.05866234,0.03493719,0.26267225,0.23750769,11,0,0,0,0.9997795,0.00022051025
0.70127964,0.041446682,0.027676769,0.13907292,0.10818903,12,0,1,0,0.6398024,0.36019763
0.7284165,0.055923764,0.029347679,0.3129381,0.105292,13,0,0,0,0.99996305,3.6984766e-05
0.7194705,0.063041665,0.034261815,0.30186123,0.11586905,14,0,0,0,0.9999876,1.2408514e-05
0.66098416,0.042936444,0.03749286,0.23219538,0.124277435,15,0,1,1,0.006292633,0.99370736
0.6668765,0.06279992,0.036579393,0.2584539,0.31944522,16,0,0,0,0.9999988,1.160531e-06
0.6196871,0.04944419,0.022198914,0.2671539,0.18345274,17,0,0,0,0.9999918,8.245731e-06
0.7217323,0.054632626,0.027945727,0.27001956,0.16524757,18,0,0,0,0.99993396,6.606512e-05
0.77572644,0.056749433,0.029866885,0.27149084,0.17956324,19,0,0,0,0.99991226,8.77674e-05
0.49493605,0.048500996,0.029676763,0.28163266,0.083660096,20,0,0,0,0.9966313,0.0033687141
0.66095406,0.054236583,0.027484221,0.29743034,0.11510662,21,0,0,0,0.99996996,3.0089606e-05
0.7253813,0.055040102,0.05389024,0.25331336,0.111008555,22,0,1,1,0.00660937,0.9933907
0.7601692,0.055742837,0.02989745,0.3173255,0.13049714,23,0,0,0,0.9999025,9.75562e-05
0.79818916,0.05027539,0.044372905,0.22952415,0.06819078,24,0,1,1,0.05284812,0.9471519
0.7073291,0.0713849,0.05730445,0.19494595,0.08539322,25,0,0,0,0.99706835,0.0029317022
0.6557075,0.05889537,0.02958424,0.2686786,0.1318102,26,0,0,0,0.99999475,5.2691466e-06
0.6180464,0.044920713,0.021996519,0.25212356,0.17427722,27,0,0,0,0.9998723,0.00012765604
0.73189306,0.04024511,0.018407365,0.14169706,0.11227303,28,0,0,0,0.99955755,0.00044243707
0.5768895,0.06752435,0.033766314,0.3790245,0.106055975,29,0,0,0,0.9999999,1.2387181e-07
0.72719026,0.06251415,0.033303697,0.42274684,0.10087661,30,0,0,0,0.9999932,6.7435353e-06
0.7740652,0.07603074,0.040788755,0.37602267,0.2247348,31,0,0,0,0.9999999,9.3503175e-08
0.65955913,0.08207097,0.05683558,0.22426917,0.09744175,32,0,0,0,0.99999857,1.3725008e-06
0.73234195,0.050722864,0.028893394,0.3098101,0.19675118,33,0,0,0,0.99894804,0.0010520282
0.68599033,0.045690667,0.02387655,0.2560397,0.39867872,34,0,0,0,0.9999939,6.0801153e-06
0.7188847,0.044506446,0.02201177,0.15163913,0.09052525,35,0,0,0,0.999673,0.00032702886
0.68392116,0.066612676,0.037347462,0.42242777,0.20191991,36,0,0,0,0.9999645,3.5471483e-05
0.80462897,0.055315085,0.031360697,0.2458908,0.102640525,37,0,0,0,0.99964917,0.00035085896
0.7027816,0.03850066,0.029531991,0.18737225,0.10503482,38,0,1,1,0.08358705,0.916413
0.5039386,0.047230575,0.03459903,0.1095422,0.1166592,39,0,0,0,0.8147779,0.18522206
0.6104922,0.06343942,0.035626363,0.34143066,0.12845585,40,0,0,0,0.99996054,3.9484818e-05
0.7866541,0.043573294,0.024020476,0.3158301,0.16500449,41,0,0,0,0.9979366,0.0020634297
0.6731996,0.045844655,0.02391253,0.14670712,0.12141434,42,0,0,0,0.9993297,0.0006703595
0.78022164,0.054068975,0.03176975,0.4179116,0.2370403,43,0,0,0,0.999308,0.0006920561
0.6408261,0.06279326,0.034469496,0.2970215,0.17611088,44,0,0,0,0.99998116,1.8807443e-05
0.72760886,0.037080128,0.025325114,0.10393898,0.09588965,45,0,0,1,0.4267755,0.57322454
0.6153029,0.2325589,0.21640585,0.26792464,0.1798346,46,0,0,0,1.0,2.3332693e-31
0.69517887,0.032562956,0.015492866,0.16186431,0.17140448,47,0,0,0,0.99820673,0.0017932208
0.59371763,0.06442127,0.030812671,0.3969027,0.14476837,48,0,0,0,0.9999999,1.6333377e-07
0.72142416,0.034815073,0.0181282,0.1927801,0.13032877,49,0,0,0,0.9935643,0.0064356565
0.7546076,0.050035406,0.025439173,0.22163738,0.16843176,50,0,0,0,0.9998275,0.00017248897
0.6447978,0.07095686,0.03893558,0.37182188,0.14113022,51,0,0,0,0.99999845,1.5851019e-06
0.7259543,0.057212472,0.033673793,0.29827437,0.13277127,52,0,0,0,0.9991124,0.0008875622
0.62682354,0.057486355,0.053200014,0.31851298,0.18860772,53,0,1,1,0.0024907333,0.99750924
0.636104,0.08157371,0.05118649,0.3734326,0.23460795,54,0,0,0,0.9999981,1.8872148e-06
0.6325834,0.075673565,0.043001764,0.3519916,0.1256373,55,0,0,0,0.99999976,2.3969406e-07
0.78213656,0.056181286,0.034972683,0.42131615,0.1044091,56,0,0,0,0.9965939,0.003406125
0.7242626,0.06345735,0.032235045,0.3634418,0.1956043,57,0,0,0,0.99999475,5.209686e-06
0.63852286,0.04460977,0.02084857,0.23479146,0.2987027,58,0,0,0,0.99998534,1.4720609e-05
0.70987797,0.053073164,0.0409868,0.29391,0.1278879,59,0,1,1,0.09005507,0.90994495
0.767205,0.053871423,0.027209742,0.3163817,0.19345105,60,0,0,0,0.99996257,3.7466776e-05
0.7207525,0.06959772,0.038959984,0.3472256,0.17154115,61,0,0,0,0.99999547,4.5173306e-06
0.81648195,0.06585383,0.032602057,0.43524545,0.16642873,62,0,0,0,0.9999993,6.9382355e-07
0.7351428,0.13374536,0.12148938,0.17373013,0.2629586,63,0,0,0,1.0,7.4300016e-14
0.7471578,0.05889018,0.037036877,0.27128047,0.22326085,64,0,0,0,0.9978806,0.002119476
0.71061957,0.049636677,0.024488235,0.28870198,0.17938974,65,0,0,0,0.99994075,5.9223057e-05
0.61575323,0.046195947,0.0237776,0.18612796,0.17814958,66,0,0,0,0.9996536,0.000346366
0.6882205,0.067379184,0.039027262,0.32199746,0.1295467,67,0,0,0,0.9999819,1.8177845e-05
0.6605404,0.041528106,0.02719944,0.13467734,0.09035965,68,0,0,0,0.7866744,0.2133256
0.78226364,0.051382825,0.02679619,0.24425183,0.13788122,69,0,0,0,0.9997881,0.0002119294
0.7252362,0.039588533,0.018121382,0.17401165,0.16351284,70,0,0,0,0.9997354,0.00026460947
0.7807273,0.048496556,0.024610018,0.28349102,0.19088688,71,0,0,0,0.9998603,0.00013967682
0.63316774,0.062068492,0.035136923,0.38707453,0.24854994,72,0,0,0,0.9999461,5.386685e-05
0.6235635,0.047230575,0.02682703,0.19029233,0.126672,73,0,0,0,0.9957491,0.0042508515
0.6011651,0.06708094,0.03673093,0.34644237,0.2885961,74,0,0,0,0.99999905,9.2836564e-07
0.72643,0.079277165,0.04769289,0.31244785,0.23503079,75,0,0,0,0.99999976,1.9725724e-07
0.6449042,0.11358588,0.09976622,0.27900252,0.18588512,76,0,0,0,1.0,4.201188e-08
0.8027347,0.070817806,0.035171963,0.47518352,0.1545202,77,0,0,0,0.9999999,1.13140146e-07
0.62173563,0.07077235,0.040412966,0.3191216,0.099638544,78,0,0,0,0.9999987,1.3057361e-06
0.76053923,0.05165179,0.029417697,0.22303502,0.14131302,79,0,0,0,0.9982162,0.0017837884
0.72860235,0.07830923,0.055265777,0.07849174,0.16155522,80,0,0,0,1.0,6.089532e-09
0.62939864,0.07390225,0.038096428,0.43076393,0.19534585,81,0,0,0,0.9999999,6.563116e-08
0.8451768,0.084477074,0.048264794,0.40679535,0.09243502,82,0,0,0,1.0,1.4697853e-08
0.7112691,0.055734508,0.04736147,0.04452405,0.06983077,83,0,0,0,0.9955882,0.0044118245
0.6886016,0.067903824,0.043454397,0.24374868,0.14373958,84,0,0,0,0.9999294,7.058782e-05
0.6821617,0.05657829,0.037060164,0.14800607,0.16987593,85,0,0,0,0.99923146,0.00076851295
0.8527394,0.05675875,0.030648263,0.35285163,0.08201403,86,0,0,0,0.99995804,4.1987994e-05
0.7684299,0.09569487,0.07693723,0.16099773,0.16314276,87,0,0,0,1.0,9.858247e-09
0.57655585,0.064650774,0.035138752,0.46629894,0.13604973,88,0,0,0,0.9999994,6.0491675e-07
0.6667344,0.05315587,0.02751802,0.37054014,0.19031389,89,0,0,0,0.99994934,5.0698738e-05
0.70154226,0.106447004,0.093418926,0.20563607,0.2544328,90,0,0,0,1.0,2.065263e-08
0.6488819,0.07121759,0.043367438,0.28086895,0.26329535,91,0,0,0,0.99999714,2.8458558e-06
0.8722506,0.04571473,0.02399349,0.25317153,0.11074888,92,0,0,0,0.9990957,0.00090435194
0.7166006,0.08667364,0.050061043,0.46676815,0.13268259,93,0,0,0,1.0,1.900825e-08
0.64466673,0.034446135,0.023948513,0.11621621,0.13898942,94,0,1,0,0.5845604,0.41543955
0.78431374,0.07774739,0.04341726,0.5347787,0.14654788,95,0,0,0,0.99999976,2.634765e-07
0.711104,0.046653107,0.023588698,0.2248759,0.11357471,96,0,0,0,0.9996735,0.00032655467
0.7036323,0.06510263,0.03497226,0.3340002,0.29663104,97,0,0,0,0.99999857,1.3865805e-06
0.68717396,0.16551334,0.09761034,0.17829314,0.055241626,98,0,0,0,1.0,2.4606202e-30
0.76468897,0.05001478,0.028122364,0.21688598,0.084790885,99,0,0,0,0.9991001,0.0008999389
0.71657926,0.051850297,0.030133538,0.1175545,0.13552989,100,0,0,0,0.9997967,0.00020332768
