GLCM_Pan,Mean_G,Mean_R,Mean_NIR,SD_Plan,name,is_train,target,prediction,score_0,score_1
0.8370181,0.0,0.22128588,0.4292701,0.11337583,0,0,0,1,0.0011360104,0.99886405
0.8760771,0.0,0.22961432,0.15563391,0.0,1,0,0,1,0.0011360104,0.99886405
0.81400454,0.0,0.22347607,0.054006085,0.0,2,0,0,1,0.0011360104,0.99886405
0.8814003,0.0,0.2322596,0.52520645,0.026404873,3,0,0,1,0.0011360104,0.99886405
0.8915904,0.0,0.22720802,0.07003017,0.0,4,0,0,1,0.0011360104,0.99886405
0.51377034,0.0,0.31779578,0.37999246,0.3536424,5,0,0,1,0.0011360104,0.99886405
0.5175851,0.0,0.24092083,0.59426844,0.0,6,0,0,1,0.0011360104,0.99886405
0.52169377,0.0,0.28057158,0.39517826,0.35363108,7,0,0,1,0.0011360104,0.99886405
0.9420952,0.0,0.22605401,0.5295874,0.0,8,0,0,1,0.0011360104,0.99886405
0.5915633,0.0,0.23347162,0.47873998,0.0,9,0,0,1,0.0011360104,0.99886405
0.8039001,0.0,0.2503423,0.47432643,0.0,10,0,0,1,0.0011360104,0.99886405
0.8748423,0.0,0.23493719,0.46267223,0.037507683,11,0,0,1,0.0011360104,0.99886405
0.50127965,0.24144669,0.0,0.33907294,0.0,12,0,1,0,1.0,0.0
0.9284165,0.0,0.22934768,0.11293809,0.305292,13,0,0,1,0.0011360104,0.99886405
0.5194705,0.0,0.23426181,0.5018612,0.0,14,0,0,1,0.0011360104,0.99886405
0.46098417,0.24293645,0.0,0.032195374,0.32427743,15,0,1,0,1.0,0.0
0.8668765,0.0,0.23657939,0.4584539,0.11944522,16,0,0,1,0.0011360104,0.99886405
0.81968707,0.0,0.22219892,0.067153886,0.0,17,0,0,1,0.0011360104,0.99886405
0.9217323,0.0,0.22794573,0.47001958,0.0,18,0,0,1,0.0011360104,0.99886405
0.9757264,0.0,0.22986689,0.47149086,0.0,19,0,0,1,0.0011360104,0.99886405
0.69493604,0.0,0.22967677,0.08163266,0.0,20,0,0,1,0.0011360104,0.99886405
0.86095405,0.0,0.22748423,0.09743033,0.0,21,0,0,1,0.0011360104,0.99886405
0.9253813,0.2550401,0.0,0.05331336,0.0,22,0,1,0,1.0,0.0
0.5601692,0.0,0.22989745,0.1173255,0.0,23,0,0,1,0.0011360104,0.99886405
0.99818915,0.2502754,0.0,0.42952415,0.0,24,0,1,0,1.0,0.0
0.5073291,0.0,0.25730446,0.39494595,0.28539324,25,0,0,1,0.0011360104,0.99886405
0.85570747,0.0,0.22958425,0.4686786,0.0,26,0,0,1,0.0011360104,0.99886405
0.8180464,0.0,0.22199652,0.05212356,0.0,27,0,0,1,0.0011360104,0.99886405
0.5318931,0.0,0.21840736,0.34169707,0.0,28,0,0,1,0.0011360104,0.99886405
0.7768895,0.0,0.23376632,0.1790245,0.30605596,29,0,0,1,0.0011360104,0.99886405
