GLCM_Pan,Mean_G,Mean_R,Mean_NIR,SD_Plan,name,is_train,target,prediction,score_0,score_1
0.6370181,0.04671727,0.021285884,0.22927009,0.31337583,0,0,0,0,0.9999989,1.1200682e-06
0.6760771,0.05818179,0.029614309,0.3556339,0.15613669,1,0,0,0,0.99999416,5.822484e-06
0.61400455,0.05270394,0.02347606,0.2540061,0.115244396,2,0,0,0,0.99999833,1.7193044e-06
0.6814003,0.05987932,0.032259595,0.32520646,0.22640488,3,0,0,0,0.99998856,1.1428914e-05
0.6915904,0.04875916,0.027208012,0.27003017,0.15230742,4,0,0,0,0.99913436,0.00086560805
0.71377033,0.13158101,0.11779577,0.17999245,0.15364239,5,0,0,0,1.0,2.5472875e-13
0.7175851,0.072312646,0.04092082,0.39426845,0.16686392,6,0,0,0,0.9999926,7.333505e-06
0.72169375,0.09729155,0.08057158,0.19517826,0.15363108,7,0,0,0,0.99999976,2.010841e-07
0.74209523,0.055221945,0.02605401,0.3295874,0.19005375,8,0,0,0,0.99999845,1.5466018e-06
0.7915633,0.059143465,0.03347161,0.27873996,0.17513567,9,0,0,0,0.9999033,9.668703e-05
0.60390013,0.07479343,0.05034231,0.27432644,0.12700267,10,0,0,0,0.9996811,0.0003189432
0.6748423,0.05866234,0.03493719,0.26267225,0.23750769,11,0,0,0,0.9997553,0.00024471953
0.70127964,0.041446682,0.027676769,0.13907292,0.10818903,12,0,1,0,0.75762975,0.2423702
0.7284165,0.055923764,0.029347679,0.3129381,0.105292,13,0,0,0,0.9999505,4.9496317e-05
0.7194705,0.063041665,0.034261815,0.30186123,0.11586905,14,0,0,0,0.9999753,2.468754e-05
0.66098416,0.042936444,0.03749286,0.23219538,0.124277435,15,0,1,1,0.009403622,0.9905964
0.6668765,0.06279992,0.036579393,0.2584539,0.31944522,16,0,0,0,0.99999547,4.5537768e-06
0.6196871,0.04944419,0.022198914,0.2671539,0.18345274,17,0,0,0,0.99999726,2.7379426e-06
0.7217323,0.054632626,0.027945727,0.27001956,0.16524757,18,0,0,0,0.99997926,2.0767457e-05
0.77572644,0.056749433,0.029866885,0.27149084,0.17956324,19,0,0,0,0.999979,2.0960237e-05
0.49493605,0.048500996,0.029676763,0.28163266,0.083660096,20,0,0,0,0.9964489,0.0035510762
0.66095406,0.054236583,0.027484221,0.29743034,0.11510662,21,0,0,0,0.9999751,2.4940317e-05
0.7253813,0.055040102,0.05389024,0.25331336,0.111008555,22,0,1,1,0.003217813,0.9967822
0.7601692,0.055742837,0.02989745,0.3173255,0.13049714,23,0,0,0,0.99992895,7.108276e-05
0.79818916,0.05027539,0.044372905,0.22952415,0.06819078,24,0,1,1,0.036659185,0.9633408
0.7073291,0.0713849,0.05730445,0.19494595,0.08539322,25,0,0,0,0.99246395,0.0075360634
0.6557075,0.05889537,0.02958424,0.2686786,0.1318102,26,0,0,0,0.99999464,5.423253e-06
0.6180464,0.044920713,0.021996519,0.25212356,0.17427722,27,0,0,0,0.9999261,7.389343e-05
0.73189306,0.04024511,0.018407365,0.14169706,0.11227303,28,0,0,0,0.9997873,0.00021272968
0.5768895,0.06752435,0.033766314,0.3790245,0.106055975,29,0,0,0,0.9999999,1.5667933e-07
0.72719026,0.06251415,0.033303697,0.42274684,0.10087661,30,0,0,0,0.99998903,1.0909421e-05
0.7740652,0.07603074,0.040788755,0.37602267,0.2247348,31,0,0,0,0.99999976,2.4523038e-07
0.65955913,0.08207097,0.05683558,0.22426917,0.09744175,32,0,0,0,0.9999734,2.6527297e-05
0.73234195,0.050722864,0.028893394,0.3098101,0.19675118,33,0,0,0,0.9994173,0.0005827498
0.68599033,0.045690667,0.02387655,0.2560397,0.39867872,34,0,0,0,0.9999989,1.0604775e-06
0.7188847,0.044506446,0.02201177,0.15163913,0.09052525,35,0,0,0,0.99966514,0.00033485272
0.68392116,0.066612676,0.037347462,0.42242777,0.20191991,36,0,0,0,0.99999046,9.59183e-06
0.80462897,0.055315085,0.031360697,0.2458908,0.102640525,37,0,0,0,0.9994686,0.00053145
0.7027816,0.03850066,0.029531991,0.18737225,0.10503482,38,0,1,1,0.13641602,0.863584
0.5039386,0.047230575,0.03459903,0.1095422,0.1166592,39,0,0,0,0.80455035,0.19544962
0.6104922,0.06343942,0.035626363,0.34143066,0.12845585,40,0,0,0,0.9999578,4.216691e-05
0.7866541,0.043573294,0.024020476,0.3158301,0.16500449,41,0,0,0,0.99851805,0.0014819996
0.6731996,0.045844655,0.02391253,0.14670712,0.12141434,42,0,0,0,0.99942976,0.0005701621
0.78022164,0.054068975,0.03176975,0.4179116,0.2370403,43,0,0,0,0.99959904,0.0004010146
0.6408261,0.06279326,0.034469496,0.2970215,0.17611088,44,0,0,0,0.99998176,1.8289062e-05
0.72760886,0.037080128,0.025325114,0.10393898,0.09588965,45,0,0,0,0.67735237,0.32264763
0.6153029,0.2325589,0.21640585,0.26792464,0.1798346,46,0,0,0,1.0,1.4775384e-29
0.69517887,0.032562956,0.015492866,0.16186431,0.17140448,47,0,0,0,0.9983204,0.0016795939
0.59371763,0.06442127,0.030812671,0.3969027,0.14476837,48,0,0,0,0.9999999,1.4378251e-07
0.72142416,0.034815073,0.0181282,0.1927801,0.13032877,49,0,0,0,0.9934273,0.0065727467
0.7546076,0.050035406,0.025439173,0.22163738,0.16843176,50,0,0,0,0.9999459,5.4099743e-05
0.6447978,0.07095686,0.03893558,0.37182188,0.14113022,51,0,0,0,0.9999981,1.9538588e-06
0.7259543,0.057212472,0.033673793,0.29827437,0.13277127,52,0,0,0,0.9991641,0.00083590596
0.62682354,0.057486355,0.053200014,0.31851298,0.18860772,53,0,1,1,0.004478854,0.9955212
0.636104,0.08157371,0.05118649,0.3734326,0.23460795,54,0,0,0,0.9999924,7.5934813e-06
0.6325834,0.075673565,0.043001764,0.3519916,0.1256373,55,0,0,0,0.9999993,7.052976e-07
0.78213656,0.056181286,0.034972683,0.42131615,0.1044091,56,0,0,0,0.99655616,0.0034439056
0.7242626,0.06345735,0.032235045,0.3634418,0.1956043,57,0,0,0,0.9999989,1.0521205e-06
0.63852286,0.04460977,0.02084857,0.23479146,0.2987027,58,0,0,0,0.9999944,5.572447e-06
0.70987797,0.053073164,0.0409868,0.29391,0.1278879,59,0,1,1,0.1221635,0.87783647
0.767205,0.053871423,0.027209742,0.3163817,0.19345105,60,0,0,0,0.9999876,1.2398554e-05
0.7207525,0.06959772,0.038959984,0.3472256,0.17154115,61,0,0,0,0.9999912,8.839348e-06
