GLCM_Pan,Mean_G,Mean_R,Mean_NIR,SD_Plan,name,is_train,target,prediction,score_0,score_1
0.6370181,0.02918349,0.033489034,0.22927009,0.31336987,0,0,0,1,0.4529138972381262,0.5470861027618739
0.6882521,0.025199786,0.06259498,0.34410167,0.1528135,1,0,0,1,3.00000089999998e-14,0.9999999999999699
0.6231617,0.019734941,0.05644077,0.24683195,0.10880487,2,0,0,1,3.00000089999998e-14,0.9999999999999699
0.64074594,0.026891079,0.065244265,0.34903264,0.19647138,3,0,0,1,3.00000089999998e-14,0.9999999999999699
0.6917122,0.015855942,0.060111217,0.30072057,0.123605356,4,0,0,1,3.00000089999998e-14,0.9999999999999699
0.71377033,0.10758213,0.1185106,0.17999245,0.15364239,5,0,0,1,0.43475072066840154,0.5652492793315985
0.71082544,0.039327305,0.0739002,0.46755257,0.14953844,6,0,0,1,3.00000089999998e-14,0.9999999999999699
0.72245485,0.06430956,0.1134465,0.21151887,0.14661647,7,0,0,1,3.00000089999998e-14,0.9999999999999699
0.74619466,0.02226504,0.058999702,0.31845623,0.1823341,8,0,0,1,3.00000089999998e-14,0.9999999999999699
0.7831944,0.026187632,0.06639433,0.27818817,0.17306887,9,0,0,1,3.00000089999998e-14,0.9999999999999699
0.62305444,0.041815083,0.0833041,0.28740314,0.11007094,10,0,0,1,3.00000089999998e-14,0.9999999999999699
0.57897854,0.025672983,0.06792176,0.2908698,0.20673402,11,0,0,1,3.00000089999998e-14,0.9999999999999699
0.70127964,0.07370887,0.0,0.13907292,0.10818903,12,0,1,0,0.9999998999999902,1.0000000994736041e-07
0.7286766,0.022974942,0.062296495,0.30989242,0.11883645,13,0,0,1,3.00000089999998e-14,0.9999999999999699
0.72768897,0.030066714,0.067227654,0.306072,0.11664011,14,0,0,1,3.00000089999998e-14,0.9999999999999699
0.71617156,0.07592952,0.0045002177,0.27268484,0.2089475,15,0,1,0,0.9999998999999902,1.0000000994736041e-07
0.6668765,0.042091347,0.046205547,0.2629582,0.31944522,16,0,0,1,0.44859693571005554,0.5514030642899445
0.62348056,0.01648556,0.055152237,0.26495093,0.17771104,17,0,0,1,3.00000089999998e-14,0.9999999999999699
0.73528874,0.021684542,0.060880102,0.27170977,0.16652873,18,0,0,1,3.00000089999998e-14,0.9999999999999699
0.77864397,0.023805182,0.06277356,0.26282647,0.1836367,19,0,0,1,3.00000089999998e-14,0.9999999999999699
0.5177558,0.0155721605,0.062613636,0.17054608,0.097124696,20,0,0,1,3.00000089999998e-14,0.9999999999999699
0.6618495,0.021287747,0.060433038,0.29198515,0.12234536,21,0,0,1,3.00000089999998e-14,0.9999999999999699
0.7253842,0.15384306,0.0,0.2578141,0.11100658,22,0,1,0,0.9999998999999902,1.0000000994736041e-07
0.74100935,0.022794,0.06284629,0.32581866,0.11151991,23,0,0,1,3.00000089999998e-14,0.9999999999999699
0.82717633,0.08254299,0.012105312,0.20428446,0.040054686,24,0,1,0,0.9999998999999902,1.0000000994736041e-07
0.7006144,0.039117396,0.08957172,0.2195141,0.10489128,25,0,0,1,3.00000089999998e-14,0.9999999999999699
0.66908306,0.025909226,0.06256684,0.28788495,0.11324318,26,0,0,1,3.00000089999998e-14,0.9999999999999699
0.6220598,0.012108602,0.054808617,0.24911687,0.17356773,27,0,0,1,3.00000089999998e-14,0.9999999999999699
