family,var,importance,rank
extratrees,bacc_test,0.18800269685276816,1.0
extratrees,neighborhood_size_q50,0.1391279489996734,2.0
extratrees,pred_targets_consistency_in_neighborhood_q75,0.08588219521909701,3.0
extratrees,target_targets_consistency_in_neighborhood_q25,0.07615524259172962,4.0
extratrees,pred_targets_consistency_in_neighborhood_mean,0.07600031310372432,5.0
extratrees,neighborhood_size_mean,0.0572832611021963,6.0
extratrees,neighborhood_size_q75,0.039936673493172606,7.0
extratrees,pred_targets_consistency_in_neighborhood_q50,0.030557431347688655,8.0
extratrees,neighborhood_size_q25,0.028334924519767858,9.0
extratrees,target_approx_consistency_in_neighborhood_q25,0.027897290090288105,10.0
extratrees,uncertainty_q1,0.026548434367125624,11.0
extratrees,target_targets_consistency_in_neighborhood_mean,0.025229210790305337,12.0
extratrees,uncertainty_q25,0.02324353890389471,13.0
extratrees,pred_targets_consistency_in_neighborhood_q25,0.0223498355724226,14.0
extratrees,target_approx_consistency_in_neighborhood_mean,0.020680981953683755,15.0
extratrees,uncertainty_q50,0.017965536081459472,16.0
extratrees,uncertainty_minmax,0.014257953278673262,17.0
extratrees,uncertainty_q75,0.01310190362735775,18.0
extratrees,uncertainty_mean,0.011284431666321175,19.0
extratrees,approx_diversity_in_neighborhood_q75,0.009439534415598371,20.0
extratrees,target_diversity_in_neighborhood_q75,0.008611676235686318,21.0
extratrees,targets_and_approxs_consistency_in_neighborhood_q25,0.008250777022700289,22.0
extratrees,approx_diversity_in_neighborhood_mean,0.007914531294378507,23.0
extratrees,target_diversity_in_neighborhood_mean,0.007626191515250105,24.0
extratrees,uncertainty_q0,0.006531375405482457,25.0
extratrees,target_diversity_in_neighborhood_q25,0.006283701773308406,26.0
extratrees,target_targets_consistency_in_neighborhood_q50,0.006277687326729463,27.0
extratrees,target_diversity_in_neighborhood_q50,0.0029805186718409086,28.0
extratrees,target_targets_consistency_in_neighborhood_q75,0.0026356498727609333,29.0
extratrees,target_approx_consistency_in_neighborhood_q50,0.002549469534175383,30.0
extratrees,target_approx_consistency_in_neighborhood_q75,0.0017662623745859016,31.0
extratrees,target_targets_consistency_in_neighborhood_minmax,0.001521906342322071,32.0
extratrees,approx_diversity_in_neighborhood_q50,0.0014120783981255113,33.0
extratrees,pred_targets_consistency_in_neighborhood_minmax,0.0012377960800244938,34.0
extratrees,target_targets_consistency_in_neighborhood_q0,0.0011210401756811524,35.0
