scenario,family,bacc,kappa,precision_weighted,recall_weighted,f1_weighted
10-fold cross-validation,catboost,0.9814814814814815,0.9601226993865031,0.9763313609467456,0.9743589743589743,0.9745054945054945
10-fold cross-validation,extratrees,0.9814814814814815,0.9601226993865031,0.9763313609467456,0.9743589743589743,0.9745054945054945
10-fold cross-validation,mlp,0.9737654320987654,0.9468302658486708,0.9678617008933751,0.9658119658119658,0.9660073260073261
10-fold cross-validation,rf,0.9691358024691358,0.9529472595656671,0.9709011105127867,0.9700854700854701,0.9698858386315661
10-fold cross-validation,xgb,0.9614197530864198,0.9331275720164609,0.9572649572649573,0.9572649572649573,0.9572649572649573
one-data-set-out,catboost,0.7746913580246914,0.6809399477806789,0.8196185551924297,0.7991452991452992,0.8012189540725521
one-data-set-out,extratrees,0.95679012345679,0.9140823589222166,0.9529411764705883,0.9444444444444444,0.9452162499437722
one-data-set-out,mlp,0.8688271604938271,0.7998973832734736,0.8875926054143877,0.8717948717948718,0.8749539933750461
one-data-set-out,rf,0.8858024691358025,0.8264887063655031,0.9012943281069136,0.8888888888888888,0.8913451105856169
one-data-set-out,voting,0.8194444444444445,0.7441740031071984,0.8581465263708254,0.8376068376068376,0.8403283513185988
one-data-set-out,xgb,0.8796296296296297,0.7981366459627329,0.8711814501288185,0.8717948717948718,0.8707403055229143
one-model-out,catboost,0.6296296296296297,0.5517241379310345,0.6220735785953178,0.717948717948718,0.6453781512605042
one-model-out,extratrees,0.6296296296296297,0.5517241379310345,0.6220735785953178,0.717948717948718,0.6453781512605042
one-model-out,mlp,0.625,0.5533826638477801,0.6022971068228261,0.7222222222222222,0.6451146609613363
one-model-out,rf,0.6388888888888888,0.584664536741214,0.6064777327935222,0.7435897435897436,0.6606029106029107
one-model-out,voting,0.6296296296296297,0.5517241379310345,0.6220735785953178,0.717948717948718,0.6453781512605042
one-model-out,xgb,0.6234567901234568,0.5391032325338895,0.6197802197802197,0.7094017094017094,0.6385491959936197
