scenario,split,family,feature_count,resampler,bacc,kappa,precision_weighted,recall_weighted,f1_weighted
one-data-set-out,banknote,xgb,12,none,0.5370370370370371,0.5732323232323233,0.616025641025641,0.6666666666666666,0.6276494403429387
one-data-set-out,diabetes,xgb,12,none,0.5046296296296297,0.42222222222222217,0.6933179390965507,0.5384615384615384,0.5055407019321727
one-data-set-out,wilt,xgb,12,none,0.5648148148148148,0.4833333333333333,0.6428372352285395,0.6025641025641025,0.5085517499188873
one-model-out,lin,xgb,12,none,0.611111111111111,0.41666666666666663,0.6222222222222221,0.6111111111111112,0.5799663299663299
one-model-out,nn,xgb,12,none,0.25,0.0,0.0625,0.25,0.1
one-model-out,svm,xgb,12,none,0.9074074074074074,0.8611111111111112,0.9142857142857141,0.9074074074074074,0.9067599067599068
one-model-out,xgb,xgb,12,none,0.8518518518518517,0.7777777777777778,0.8757575757575758,0.8518518518518519,0.8491228070175438
10-fold cross-validation,0,xgb,12,none,0.7388888888888889,0.7350993377483444,0.7375992063492064,0.7916666666666666,0.7561965811965812
10-fold cross-validation,1,xgb,12,none,0.9761904761904763,0.9472527472527472,0.9642857142857143,0.9583333333333334,0.9583333333333334
10-fold cross-validation,2,xgb,12,none,0.9523809523809524,0.8947368421052632,0.9375,0.9166666666666666,0.9156746031746031
10-fold cross-validation,3,xgb,12,none,0.8055555555555557,0.8417582417582418,0.8958333333333334,0.875,0.8722222222222221
10-fold cross-validation,4,xgb,12,none,0.7666666666666666,0.8283582089552239,0.8454106280193237,0.8695652173913043,0.8510372264847968
10-fold cross-validation,5,xgb,12,none,0.5125000000000001,0.5467980295566501,0.6811594202898551,0.6521739130434783,0.6579710144927536
10-fold cross-validation,6,xgb,12,none,0.6666666666666666,0.8317073170731707,0.898550724637681,0.8695652173913043,0.8753623188405797
10-fold cross-validation,7,xgb,12,none,0.5722222222222223,0.6609336609336609,0.7185990338164252,0.7391304347826086,0.7179512516469038
10-fold cross-validation,8,xgb,12,none,0.7999999999999999,0.8317073170731708,0.8250517598343684,0.8695652173913043,0.8369379412857674
10-fold cross-validation,9,xgb,12,none,0.9428571428571427,0.8878048780487805,0.9130434782608695,0.9130434782608695,0.9130434782608695
one-data-set-out,banknote,catboost,51,smote,0.5277777777777778,0.5568181818181819,0.6153846153846154,0.6538461538461539,0.6025641025641025
one-data-set-out,diabetes,catboost,41,smote,0.3194444444444444,0.24637681159420288,0.39184378034307904,0.4358974358974359,0.37874735539499416
one-data-set-out,wilt,catboost,48,smote,0.5092592592592592,0.5166666666666666,0.6244343891402715,0.6282051282051282,0.5720879120879121
one-model-out,lin,catboost,46,smote,0.611111111111111,0.41666666666666663,0.6222222222222221,0.6111111111111112,0.5799663299663299
one-model-out,nn,catboost,47,smote,0.25,0.0,0.0625,0.25,0.1
one-model-out,svm,catboost,48,smote,0.8518518518518517,0.7777777777777778,0.8974358974358974,0.8518518518518519,0.8441558441558441
one-model-out,xgb,catboost,47,smote,0.9444444444444445,0.9166666666666666,0.9523809523809524,0.9444444444444444,0.944055944055944
10-fold cross-validation,0,catboost,47,smote,0.9666666666666667,0.9470198675496688,0.9642857142857143,0.9583333333333334,0.9576210826210826
10-fold cross-validation,1,catboost,48,smote,0.688888888888889,0.7345132743362832,0.796875,0.7916666666666666,0.7907407407407407
10-fold cross-validation,2,catboost,48,smote,0.9166666666666666,0.947136563876652,0.9722222222222222,0.9583333333333334,0.9555555555555556
10-fold cross-validation,3,catboost,48,smote,0.7388888888888889,0.7350993377483444,0.8070436507936508,0.7916666666666666,0.7867521367521367
10-fold cross-validation,4,catboost,48,smote,0.85,0.8287841191066998,0.8888888888888888,0.8695652173913043,0.8655299801079852
10-fold cross-validation,5,catboost,47,smote,0.85,0.8287841191066998,0.8888888888888888,0.8695652173913043,0.8655299801079852
