scenario,family,label,precision,recall,f1,support
10-fold cross-validation,catboost,bim,0.7222222222222222,0.7222222222222222,0.7222222222222222,18.0
10-fold cross-validation,catboost,fgm,0.6666666666666666,0.6666666666666666,0.6666666666666666,18.0
10-fold cross-validation,catboost,hsj,0.8035714285714286,0.8333333333333334,0.8181818181818182,54.0
10-fold cross-validation,catboost,org,0.9230769230769231,1.0,0.96,72.0
10-fold cross-validation,catboost,pgd,0.6111111111111112,0.6111111111111112,0.6111111111111112,18.0
10-fold cross-validation,catboost,zoo,0.9347826086956522,0.7962962962962963,0.86,54.0
10-fold cross-validation,extratrees,bim,0.8571428571428571,0.6666666666666666,0.75,18.0
10-fold cross-validation,extratrees,fgm,0.55,0.6111111111111112,0.5789473684210527,18.0
10-fold cross-validation,extratrees,hsj,0.7884615384615384,0.7592592592592593,0.7735849056603774,54.0
10-fold cross-validation,extratrees,org,0.9230769230769231,1.0,0.96,72.0
10-fold cross-validation,extratrees,pgd,0.6,0.6666666666666666,0.631578947368421,18.0
10-fold cross-validation,extratrees,zoo,0.86,0.7962962962962963,0.8269230769230769,54.0
10-fold cross-validation,mlp,bim,0.4074074074074074,0.6111111111111112,0.4888888888888889,18.0
10-fold cross-validation,mlp,fgm,0.6153846153846154,0.4444444444444444,0.5161290322580645,18.0
10-fold cross-validation,mlp,hsj,0.8,0.5925925925925926,0.6808510638297872,54.0
10-fold cross-validation,mlp,org,0.9102564102564102,0.9861111111111112,0.9466666666666667,72.0
10-fold cross-validation,mlp,pgd,0.7142857142857143,0.5555555555555556,0.625,18.0
10-fold cross-validation,mlp,zoo,0.7419354838709677,0.8518518518518519,0.7931034482758621,54.0
10-fold cross-validation,rf,bim,0.7777777777777778,0.7777777777777778,0.7777777777777778,18.0
10-fold cross-validation,rf,fgm,0.5882352941176471,0.5555555555555556,0.5714285714285714,18.0
10-fold cross-validation,rf,hsj,0.7457627118644068,0.8148148148148148,0.7787610619469026,54.0
10-fold cross-validation,rf,org,0.9850746268656716,0.9166666666666666,0.9496402877697842,72.0
10-fold cross-validation,rf,pgd,0.631578947368421,0.6666666666666666,0.6486486486486487,18.0
10-fold cross-validation,rf,zoo,0.7222222222222222,0.7222222222222222,0.7222222222222222,54.0
10-fold cross-validation,xgb,bim,0.8333333333333334,0.8333333333333334,0.8333333333333334,18.0
10-fold cross-validation,xgb,fgm,0.6470588235294118,0.6111111111111112,0.6285714285714286,18.0
10-fold cross-validation,xgb,hsj,0.8181818181818182,0.8333333333333334,0.8256880733944955,54.0
10-fold cross-validation,xgb,org,0.9305555555555556,0.9305555555555556,0.9305555555555556,72.0
10-fold cross-validation,xgb,pgd,0.631578947368421,0.6666666666666666,0.6486486486486487,18.0
10-fold cross-validation,xgb,zoo,0.9056603773584906,0.8888888888888888,0.897196261682243,54.0
one-data-set-out,catboost,bim,0.3333333333333333,0.3333333333333333,0.3333333333333333,18.0
