family,trial,objective,selection_bacc,selection_kappa,dataset_bacc,dataset_kappa,model_bacc,model_kappa,state,top_k,variance_threshold,corr_threshold,resampler,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,iterations,depth,l2_leaf_reg,random_strength,bagging_temperature,min_samples_split,min_samples_leaf,max_features,hidden_layer_sizes,alpha,learning_rate_init,activation
xgb,0,0.5275200573671498,0.5270833333333333,0.4367240338164251,0.4606481481481481,0.39891304347826084,0.650462962962963,0.5069444444444444,TrialState.COMPLETE,35,1e-06,1.0,ros,200.0,8.0,0.31053057074593404,0.8995456309427042,0.7359414447833358,4.32730921522027,8.789032631440339e-06,3.601352926184937e-06,,,,,,,,,,,,
xgb,1,0.49339842008043394,0.49301697530864197,0.381444771791994,0.4182098765432099,0.32882528993640103,0.6319444444444444,0.47916666666666663,TrialState.COMPLETE,35,0.0001,0.98,ros,240.0,2.0,0.028527677247824894,0.558365527961195,0.6003377083268815,5.421595915020138,3.8633398827705093e-07,3.5513789557868125,,,,,,,,,,,,
xgb,2,0.5148678266460905,0.5144675925925926,0.4002340534979424,0.4212962962962963,0.3128600823045268,0.6875,0.5625,TrialState.COMPLETE,50,0.0001,0.9,ros,320.0,2.0,0.20085844667726874,0.8410916236236468,0.865465495819242,6.072619022107265,0.004807824327405618,6.797552758920795,,,,,,,,,,,,
xgb,3,0.5075420136550692,0.5071373456790124,0.404667976056865,0.42746913580246915,0.3458567153011598,0.6550925925925926,0.5138888888888888,TrialState.COMPLETE,35,1e-06,0.9,none,320.0,4.0,0.31019550592246603,0.8148790694227561,0.9070492186321654,4.340275599951896,1.1639676626389548e-08,0.019111305209769183,,,,,,,,,,,,
xgb,4,0.5132661026936027,0.5128472222222222,0.41888047138047135,0.4212962962962963,0.34528619528619525,0.6828703703703703,0.5555555555555556,TrialState.COMPLETE,12,1e-06,0.95,smote,760.0,4.0,0.1731540271491177,0.6294521146386832,0.9692100521424131,6.813949089854432,4.808649874010908e-06,5.259469039381371e-06,,,,,,,,,,,,
xgb,5,0.5408160935746353,0.5403935185185186,0.4225750561167228,0.48611111111111116,0.3846240179573513,0.6412037037037037,0.4930555555555556,TrialState.COMPLETE,20,0.0001,1.0,ros,640.0,6.0,0.2420789368190676,0.6944789466820843,0.7685400861791829,7.572519331580936,0.0008945278861426743,0.43434946735744845,,,,,,,,,,,,
xgb,6,0.4969973558227191,0.49660493827160496,0.39241755111412013,0.4112654320987654,0.32700990769693694,0.6550925925925927,0.5138888888888888,TrialState.COMPLETE,none,0.0001,0.98,smote,400.0,6.0,0.14624740869062314,0.5943664706580802,0.9625108201263086,4.543065638734198,4.9975618218547754e-05,6.1411523698507185e-06,,,,,,,,,,,,
xgb,7,0.5268018220100762,0.5263888888888889,0.41293312118727243,0.47453703703703703,0.38474753686930807,0.6226851851851852,0.4652777777777778,TrialState.COMPLETE,none,1e-10,0.9,smoteenn,200.0,8.0,0.2135491988831939,0.9521880984894948,0.8691578652851152,0.803675999378775,1.032192836113131e-08,0.29709847861646144,,,,,,,,,,,,
xgb,8,0.49058942962189533,0.4902006172839506,0.38881233794475456,0.39891975308641975,0.3177241096585967,0.6597222222222222,0.5208333333333334,TrialState.COMPLETE,50,1e-06,0.95,ros,200.0,5.0,0.12852265368100857,0.5977408891488816,0.6235827912454435,7.592993805483079,2.652729905944304e-07,1.8182053672681027,,,,,,,,,,,,
xgb,9,0.502762279335069,0.5023533950617284,0.4088842733405931,0.4151234567901234,0.34486469402826286,0.6643518518518519,0.5277777777777778,TrialState.COMPLETE,50,1e-10,1.0,ros,480.0,7.0,0.0804644523406661,0.5883450981450007,0.9914914173286167,7.966304303860769,0.00015588936746670372,0.007772866708439465,,,,,,,,,,,,
xgb,10,0.4478924711101171,0.44756944444444446,0.32302666567260613,0.3981481481481482,0.31373760530828293,0.5393518518518519,0.3402777777777778,TrialState.COMPLETE,20,0.0,1.0,smoteenn,640.0,6.0,0.06541168743213051,0.6807762236576296,0.7297895962443428,2.2834698316411934,1.8569868969028371,0.00024051408347271411,,,,,,,,,,,,
xgb,11,0.5400566510007482,0.5396219135802469,0.4347374205013094,0.4799382716049383,0.39585671530115984,0.6504629629629629,0.5069444444444444,TrialState.COMPLETE,20,0.0,1.0,ros,80.0,8.0,0.34866100110704973,0.7230457619225475,0.7475470452723441,2.7364563903757926,0.004951425701762008,0.00021607437199909398,,,,,,,,,,,,
xgb,12,0.5589881457496109,0.5585262345679013,0.4619111817095688,0.5015432098765432,0.4264445530574563,0.6643518518518519,0.5277777777777778,TrialState.COMPLETE,20,0.0,1.0,none,80.0,7.0,0.29472103591081955,0.724190881191361,0.8057535918740847,2.6850492056766235,0.009636288101710085,0.0004667142340496221,,,,,,,,,,,,
xgb,13,0.5452975437242799,0.5448688271604939,0.4287165637860082,0.4830246913580247,0.3791152263374486,0.6597222222222222,0.5208333333333333,TrialState.COMPLETE,20,0.0,1.0,none,560.0,6.0,0.034544012321852405,0.7530686433249298,0.8032738588207123,2.972393127275853,0.015294968254867144,0.10167343196784993,,,,,,,,,,,,
xgb,14,0.5344070113168725,0.5339891975308643,0.4178137860082304,0.4737654320987655,0.37355967078189295,0.6458333333333334,0.5,TrialState.COMPLETE,20,0.0,1.0,none,560.0,7.0,0.020322697602745413,0.7662583074847316,0.8342065770741512,2.4734311533330997,0.25526374860565326,0.00044137557712717107,,,,,,,,,,,,
xgb,15,0.48659126949431825,0.48618827160493827,0.4029978893799969,0.3927469135802469,0.33954803494358504,0.6597222222222222,0.5208333333333334,TrialState.COMPLETE,20,0.0,1.0,none,80.0,5.0,0.03995697080170851,0.7692356430004201,0.674544865034761,1.2825158416950064,0.11726424427502775,0.02411786780496781,,,,,,,,,,,,
xgb,16,0.5275964711934157,0.5271990740740741,0.39739711934156374,0.4583333333333333,0.33467078189300414,0.6550925925925927,0.5138888888888888,TrialState.COMPLETE,12,0.0,1.0,none,800.0,7.0,0.05135094347276182,0.8595705017010966,0.8094776433444113,3.3123880822201954,0.03394260371787679,0.0017003528274440983,,,,,,,,,,,,
xgb,17,0.5211622031909189,0.5207561728395061,0.406030351412768,0.43595679012345684,0.32925609619058316,0.6782407407407407,0.5486111111111112,TrialState.COMPLETE,20,0.0,0.95,none,520.0,5.0,0.10075786631330085,0.6596952626618201,0.6700044069031589,3.4084822040998883,0.010291397433696,4.986521822204173e-05,,,,,,,,,,,,
xgb,18,0.5390478758878168,0.5386188271604938,0.429048727322981,0.478395061728395,0.38710487964219303,0.650462962962963,0.5069444444444444,TrialState.COMPLETE,20,0.0,0.98,none,640.0,4.0,0.03623662001943166,0.7479500971213461,0.5533721160557765,1.6038715303928273,0.0008203900465743322,0.09564260916854397,,,,,,,,,,,,
xgb,19,0.5075491872427984,0.5071373456790124,0.41184156378600817,0.42746913580246915,0.3568930041152263,0.6550925925925926,0.5138888888888888,TrialState.COMPLETE,20,0.0,1.0,none,360.0,7.0,0.020801593719096248,0.9935058334440593,0.8095617246653481,3.47432687097439,1.5104395755340092,0.00257026324221771,,,,,,,,,,,,
xgb,20,0.5026473948037725,0.5022376543209877,0.40974048278483766,0.41743827160493824,0.3499212555664169,0.6597222222222222,0.5208333333333333,TrialState.COMPLETE,none,1e-10,1.0,none,720.0,3.0,0.05868164682358985,0.8083306591104614,0.9177464814687839,5.164339396310422,0.0007095240703544963,0.08038003666591961,,,,,,,,,,,,
