max_depth,min_samples_split,n_estimators,mean_kappa,model_class
50,2,100,0.3220744025622074,RF
50,2,200,0.3554077358955407,RF
50,2,500,0.27151172744393076,RF
50,5,100,0.2770202020202019,RF
50,5,200,0.27151172744393076,RF
50,5,500,0.302020202020202,RF
50,8,100,0.26137566137566143,RF
50,8,200,0.26137566137566143,RF
50,8,500,0.26137566137566143,RF
80,2,100,0.3220744025622074,RF
80,2,200,0.3554077358955407,RF
80,2,500,0.27151172744393076,RF
80,5,100,0.2770202020202019,RF
80,5,200,0.27151172744393076,RF
80,5,500,0.302020202020202,RF
80,8,100,0.26137566137566143,RF
80,8,200,0.26137566137566143,RF
80,8,500,0.26137566137566143,RF
110,2,100,0.3220744025622074,RF
110,2,200,0.3554077358955407,RF
110,2,500,0.27151172744393076,RF
110,5,100,0.2770202020202019,RF
110,5,200,0.27151172744393076,RF
110,5,500,0.302020202020202,RF
110,8,100,0.26137566137566143,RF
110,8,200,0.26137566137566143,RF
110,8,500,0.26137566137566143,RF
