max_depth,learning_rate,n_estimators,mean_kappa,model_class
6,0.1,100,0.24262550315181897,XGB
6,0.1,200,0.2759588364851523,XGB
6,0.1,500,0.3489788394897884,XGB
6,0.3,100,0.3087871193134351,XGB
6,0.3,200,0.3489788394897884,XGB
6,0.3,500,0.3489788394897884,XGB
6,0.5,100,0.2803030303030304,XGB
6,0.5,200,0.31615055666150566,XGB
6,0.5,500,0.31615055666150566,XGB
9,0.1,100,0.24262550315181897,XGB
9,0.1,200,0.2759588364851523,XGB
9,0.1,500,0.3489788394897884,XGB
9,0.3,100,0.3087871193134351,XGB
9,0.3,200,0.3489788394897884,XGB
9,0.3,500,0.3489788394897884,XGB
9,0.5,100,0.2803030303030304,XGB
9,0.5,200,0.31615055666150566,XGB
9,0.5,500,0.31615055666150566,XGB
12,0.1,100,0.24262550315181897,XGB
12,0.1,200,0.2759588364851523,XGB
12,0.1,500,0.3489788394897884,XGB
12,0.3,100,0.3087871193134351,XGB
12,0.3,200,0.3489788394897884,XGB
12,0.3,500,0.3489788394897884,XGB
12,0.5,100,0.2803030303030304,XGB
12,0.5,200,0.31615055666150566,XGB
12,0.5,500,0.31615055666150566,XGB
