dataset,model,attack,n_test,n_classes,attack_binary,neighborhood_size_mean,neighborhood_size_q0,neighborhood_size_q25,neighborhood_size_q50,neighborhood_size_q75,neighborhood_size_q1,neighborhood_size_minmax,uncertainty_mean,uncertainty_q0,uncertainty_q25,uncertainty_q50,uncertainty_q75,uncertainty_q1,uncertainty_minmax,target_approx_consistency_in_neighborhood_mean,target_approx_consistency_in_neighborhood_q0,target_approx_consistency_in_neighborhood_q25,target_approx_consistency_in_neighborhood_q50,target_approx_consistency_in_neighborhood_q75,target_approx_consistency_in_neighborhood_q1,target_approx_consistency_in_neighborhood_minmax,pred_targets_consistency_in_neighborhood_mean,pred_targets_consistency_in_neighborhood_q0,pred_targets_consistency_in_neighborhood_q25,pred_targets_consistency_in_neighborhood_q50,pred_targets_consistency_in_neighborhood_q75,pred_targets_consistency_in_neighborhood_q1,pred_targets_consistency_in_neighborhood_minmax,target_targets_consistency_in_neighborhood_mean,target_targets_consistency_in_neighborhood_q0,target_targets_consistency_in_neighborhood_q25,target_targets_consistency_in_neighborhood_q50,target_targets_consistency_in_neighborhood_q75,target_targets_consistency_in_neighborhood_q1,target_targets_consistency_in_neighborhood_minmax,targets_and_approxs_consistency_in_neighborhood_mean,targets_and_approxs_consistency_in_neighborhood_q0,targets_and_approxs_consistency_in_neighborhood_q25,targets_and_approxs_consistency_in_neighborhood_q50,targets_and_approxs_consistency_in_neighborhood_q75,targets_and_approxs_consistency_in_neighborhood_q1,targets_and_approxs_consistency_in_neighborhood_minmax,target_diversity_in_neighborhood_mean,target_diversity_in_neighborhood_q0,target_diversity_in_neighborhood_q25,target_diversity_in_neighborhood_q50,target_diversity_in_neighborhood_q75,target_diversity_in_neighborhood_q1,target_diversity_in_neighborhood_minmax,approx_diversity_in_neighborhood_mean,approx_diversity_in_neighborhood_q0,approx_diversity_in_neighborhood_q25,approx_diversity_in_neighborhood_q50,approx_diversity_in_neighborhood_q75,approx_diversity_in_neighborhood_q1,approx_diversity_in_neighborhood_minmax,bacc_test_mean,bacc_test_q0,bacc_test_q25,bacc_test_q50,bacc_test_q75,bacc_test_q1,bacc_test_minmax
banknote,lin,hsj,275,2,1,23.145454545454545,1.0,15.0,26.0,32.0,32.0,31.0,0.9812670324735044,0.9292543271403598,0.9732456454189304,0.982738892961421,0.9913716392238872,0.9999997949833538,0.07074546784299396,0.5355606133352292,0.0,0.38278388278388276,0.5,0.6511156186612577,1.0,1.0,0.47535045066055803,0.0,0.35098522167487683,0.5,0.6153846153846154,1.0,1.0,0.5366322587868573,0.0,0.40625,0.5,0.6770833333333333,1.0,1.0,0.919210501800416,0.5,0.875,0.90625,0.96875,1.0,0.5,0.7987378983198499,4.1305960435927445e-11,0.783238211746677,0.954434002924965,0.9940302114769566,1.0,0.999999999958694,0.8442272198501886,4.1305960435927445e-11,0.8112781244591328,0.954434002924965,0.9886994082884974,1.0,0.999999999958694,0.0376084860173577,0.0376084860173577,0.0376084860173577,0.0376084860173577,0.0376084860173577,0.0376084860173577,0.0
banknote,lin,org,275,2,0,25.483636363636364,1.0,19.0,32.0,32.0,32.0,31.0,0.513398321768258,0.0649981933915699,0.32826657224309735,0.4745270843510426,0.670941902550807,0.9999899482229836,0.9349917548314137,0.9317696390139196,0.25,0.956439393939394,1.0,1.0,1.0,0.75,0.9359988490346859,0.0,0.9354166666666666,1.0,1.0,1.0,1.0,0.9430670803676232,0.375,0.9375,1.0,1.0,1.0,0.625,0.9609792832523871,0.5,0.9212962962962963,1.0,1.0,1.0,0.5,0.18236662053860858,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.3372900666170139,1.0,0.999999999958694,0.1894135820371016,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.2583236403181057,1.0,0.999999999958694,0.9582931533269045,0.9582931533269046,0.9582931533269046,0.9582931533269046,0.9582931533269046,0.9582931533269046,0.0
banknote,lin,zoo,275,2,1,23.10909090909091,1.0,15.5,26.0,32.0,32.0,31.0,0.9705028604057485,0.7482382864057876,0.9705230168801555,0.9972887806497734,0.9997563488766243,0.9999999998784624,0.25176171347267484,0.586307824003293,0.125,0.40625,0.5769230769230769,0.75,1.0,0.875,0.4285313439247561,0.0,0.28125,0.4375,0.59375,1.0,1.0,0.5874359002203536,0.0454545454545454,0.40625,0.5625,0.75,1.0,0.9545454545454546,0.9283143522665241,0.5,0.9032258064516128,0.9375,1.0,1.0,0.5,0.7903205752691979,4.1305960435927445e-11,0.7610414845235078,0.9283620723948678,0.9852281360342516,1.0,0.999999999958694,0.7993762529074074,4.1305960435927445e-11,0.74959525725948,0.9283620723948678,0.9809047717576251,1.0,0.999999999958694,0.0964320154291224,0.0964320154291224,0.0964320154291224,0.0964320154291224,0.0964320154291224,0.0964320154291224,0.0
banknote,svm,hsj,275,2,1,26.014545454545456,1.0,21.0,32.0,32.0,32.0,31.0,0.7476172662772538,0.3752575977017747,0.6528538923553728,0.7678617705040935,0.8514003267145138,0.9951512433455264,0.6198936456437517,0.6519720986473212,0.0,0.5236895161290323,0.7142857142857143,0.84375,1.0,1.0,0.3480279013526788,0.0,0.15625,0.2857142857142857,0.47631048387096775,1.0,1.0,0.6519720986473212,0.0,0.5236895161290323,0.7142857142857143,0.84375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.710026766091245,4.1305960435927445e-11,0.5831542382100035,0.8112781244591328,0.9283620723948678,1.0,0.999999999958694,0.710026766091245,4.1305960435927445e-11,0.5831542382100035,0.8112781244591328,0.9283620723948678,1.0,0.999999999958694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
banknote,svm,org,275,2,0,25.483636363636364,1.0,19.0,32.0,32.0,32.0,31.0,0.020403021231985452,5.286466094686521e-09,4.8881878603027e-05,0.0004543851342284,0.00735146497070175,0.8339581410665977,0.8339581357801317,0.9430670803676232,0.375,0.9375,1.0,1.0,1.0,0.625,0.9430670803676232,0.375,0.9375,1.0,1.0,1.0,0.625,0.9430670803676232,0.375,0.9375,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.18236662053860858,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.3372900666170139,1.0,0.999999999958694,0.18236662053860858,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.3372900666170139,1.0,0.999999999958694,1.0,1.0,1.0,1.0,1.0,1.0,0.0
banknote,svm,zoo,275,2,1,24.62181818181818,1.0,17.0,31.0,32.0,32.0,31.0,0.8605557248720958,3.135755371913913e-06,0.889998215051562,0.9983588520789152,0.9998726586510246,1.0,0.9999968642446281,0.6962288270242925,0.0,0.5625,0.75,0.8911764705882352,1.0,1.0,0.4230947153823946,0.0,0.16954022988505746,0.34375,0.6846590909090908,1.0,1.0,0.6962288270242925,0.0,0.5625,0.75,0.8911764705882352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6325261041279492,4.1305960435927445e-11,0.4488644887230295,0.787126586201269,0.9233289532246787,1.0,0.999999999958694,0.6325261041279492,4.1305960435927445e-11,0.4488644887230295,0.787126586201269,0.9233289532246787,1.0,0.999999999958694,0.1241830065359477,0.1241830065359477,0.1241830065359477,0.1241830065359477,0.1241830065359477,0.1241830065359477,0.0
banknote,xgb,hsj,275,2,1,25.247272727272726,1.0,20.0,32.0,32.0,32.0,31.0,0.379028430457647,5.629246792812578e-07,0.04676292735305425,0.2654835989450378,0.7097527449730122,0.9999998202533036,0.9999992573286243,0.6194899307094537,0.0,0.46770833333333334,0.6666666666666666,0.8086080586080586,1.0,1.0,0.3834587916208476,0.0,0.19139194139194135,0.3333333333333333,0.5416666666666667,1.0,1.0,0.620177572015516,0.0,0.4666666666666667,0.6666666666666666,0.8110119047619048,1.0,1.0,0.997713957095536,0.8,1.0,1.0,1.0,1.0,0.19999999999999996,0.7509297979600105,4.1305960435927445e-11,0.631324952222807,0.8571484374283717,0.954434002924965,1.0,0.999999999958694,0.7519570102199177,4.1305960435927445e-11,0.6437049604352726,0.8453509366224364,0.954434002924965,1.0,0.999999999958694,0.0032679738562091,0.0032679738562091,0.0032679738562091,0.0032679738562091,0.0032679738562091,0.0032679738562091,0.0
banknote,xgb,org,275,2,0,25.483636363636364,1.0,19.0,32.0,32.0,32.0,31.0,4.638541849135129e-05,4.130580026464068e-11,8.211367922496199e-09,4.404525150671157e-08,3.1930593955840076e-07,0.0063883699596207,0.0063883699183149,0.9409183200370446,0.375,0.9354166666666666,1.0,1.0,1.0,0.625,0.9394307167312596,0.0,0.9375,1.0,1.0,1.0,1.0,0.9430670803676232,0.375,0.9375,1.0,1.0,1.0,0.625,0.9978512396694216,0.5,1.0,1.0,1.0,1.0,0.5,0.18236662053860858,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.3372900666170139,1.0,0.999999999958694,0.18760115503620456,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.3453247008192176,1.0,0.999999999958694,0.9967320261437908,0.9967320261437908,0.9967320261437908,0.9967320261437908,0.9967320261437908,0.9967320261437908,0.0
banknote,xgb,zoo,275,2,1,20.509090909090908,1.0,9.0,24.0,32.0,32.0,31.0,0.3131793852016377,2.9313554157550503e-10,0.0002505598713085,0.0856749503535453,0.6548547007067211,0.9999993355554504,0.9999993352623149,0.642029821906865,0.0,0.4,0.6785714285714286,1.0,1.0,1.0,0.5162740948700119,0.0,0.25,0.5,0.787176724137931,1.0,1.0,0.6437259051299881,0.0,0.4,0.6785714285714286,1.0,1.0,1.0,0.9969518668660036,0.5,1.0,1.0,1.0,1.0,0.5,0.5657871996269057,4.1305960435927445e-11,4.1305960435927445e-11,0.7793498372920851,0.9283620723948678,1.0,0.999999999958694,0.5676521579036612,4.1305960435927445e-11,4.1305960435927445e-11,0.7706290693639406,0.9283620723948678,1.0,0.999999999958694,0.1512643308689596,0.1512643308689596,0.1512643308689596,0.1512643308689596,0.1512643308689596,0.1512643308689596,0.0
diabetes,lin,hsj,154,2,1,23.792207792207794,1.0,15.0,31.5,32.0,32.0,31.0,0.993106522162529,0.9308419516256856,0.9902877593023192,0.996060692921207,0.9990140279689337,0.9999999376838824,0.06915798605819679,0.5853737446560208,0.0,0.38448275862068965,0.6583333333333333,0.78125,1.0,1.0,0.4527318437319986,0.0,0.34375,0.4375,0.5607638888888888,1.0,1.0,0.5545189846725371,0.2,0.4411111111111111,0.5625,0.65625,1.0,0.8,0.6863886308100627,0.0,0.625,0.6875,0.75,1.0,1.0,0.919044287811141,4.1305960435927445e-11,0.8960382325345574,0.954434002924965,0.9886994082884974,1.0,0.999999999958694,0.7932811561611925,4.1305960435927445e-11,0.6962122601251458,0.8571484374283717,0.954434002924965,1.0,0.999999999958694,0.3242592592592592,0.3242592592592592,0.3242592592592592,0.3242592592592592,0.3242592592592592,0.3242592592592592,0.0
