dataset,model,attack,bacc_test,n_test,n_classes,neighborhood_size_mean,neighborhood_size_q0,neighborhood_size_q25,neighborhood_size_q50,neighborhood_size_q75,neighborhood_size_q1,neighborhood_size_minmax,uncertainty_mean,uncertainty_q0,uncertainty_q25,uncertainty_q50,uncertainty_q75,uncertainty_q1,uncertainty_minmax,target_approx_consistency_in_neighborhood_mean,target_approx_consistency_in_neighborhood_q0,target_approx_consistency_in_neighborhood_q25,target_approx_consistency_in_neighborhood_q50,target_approx_consistency_in_neighborhood_q75,target_approx_consistency_in_neighborhood_q1,target_approx_consistency_in_neighborhood_minmax,pred_targets_consistency_in_neighborhood_mean,pred_targets_consistency_in_neighborhood_q0,pred_targets_consistency_in_neighborhood_q25,pred_targets_consistency_in_neighborhood_q50,pred_targets_consistency_in_neighborhood_q75,pred_targets_consistency_in_neighborhood_q1,pred_targets_consistency_in_neighborhood_minmax,target_targets_consistency_in_neighborhood_mean,target_targets_consistency_in_neighborhood_q0,target_targets_consistency_in_neighborhood_q25,target_targets_consistency_in_neighborhood_q50,target_targets_consistency_in_neighborhood_q75,target_targets_consistency_in_neighborhood_q1,target_targets_consistency_in_neighborhood_minmax,targets_and_approxs_consistency_in_neighborhood_mean,targets_and_approxs_consistency_in_neighborhood_q0,targets_and_approxs_consistency_in_neighborhood_q25,targets_and_approxs_consistency_in_neighborhood_q50,targets_and_approxs_consistency_in_neighborhood_q75,targets_and_approxs_consistency_in_neighborhood_q1,targets_and_approxs_consistency_in_neighborhood_minmax,target_diversity_in_neighborhood_mean,target_diversity_in_neighborhood_q0,target_diversity_in_neighborhood_q25,target_diversity_in_neighborhood_q50,target_diversity_in_neighborhood_q75,target_diversity_in_neighborhood_q1,target_diversity_in_neighborhood_minmax,approx_diversity_in_neighborhood_mean,approx_diversity_in_neighborhood_q0,approx_diversity_in_neighborhood_q25,approx_diversity_in_neighborhood_q50,approx_diversity_in_neighborhood_q75,approx_diversity_in_neighborhood_q1,approx_diversity_in_neighborhood_minmax,window_id,window_source,window_rows
banknote,lin,hsj,0.0376084860173577,275,2,23.145454545454545,1.0,15.0,26.0,32.0,32.0,31.0,0.9812670324735042,0.9292543271403598,0.9732456454189304,0.982738892961421,0.9913716392238872,0.9999997949833538,0.07074546784299396,0.5355606133352292,0.0,0.38278388278388276,0.5,0.6511156186612577,1.0,1.0,0.47535045066055803,0.0,0.35098522167487683,0.5,0.6153846153846154,1.0,1.0,0.5366322587868573,0.0,0.40625,0.5,0.6770833333333333,1.0,1.0,0.9192105018004161,0.5,0.875,0.90625,0.96875,1.0,0.5,0.7987378983198499,4.1305960435927445e-11,0.783238211746677,0.954434002924965,0.9940302114769566,1.0,0.999999999958694,0.8442272198501884,4.1305960435927445e-11,0.8112781244591328,0.954434002924965,0.9886994082884974,1.0,0.999999999958694,full,full_group,
banknote,lin,org,0.9582931533269046,275,2,25.483636363636364,1.0,19.0,32.0,32.0,32.0,31.0,0.513416699002667,0.0649797760032788,0.32831251050355403,0.474777964502311,0.6709432374532384,0.9999881311860552,0.9350083551827765,0.9317696390139196,0.25,0.956439393939394,1.0,1.0,1.0,0.75,0.9359988490346859,0.0,0.9354166666666666,1.0,1.0,1.0,1.0,0.943067080367623,0.375,0.9375,1.0,1.0,1.0,0.625,0.9609792832523871,0.5,0.9212962962962963,1.0,1.0,1.0,0.5,0.18236662053860858,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.3372900666170139,1.0,0.999999999958694,0.18941358203710162,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.2583236403181057,1.0,0.999999999958694,full,full_group,
banknote,lin,zoo,0.0964320154291224,275,2,23.10909090909091,1.0,15.5,26.0,32.0,32.0,31.0,0.9705028604057485,0.7482382864057876,0.9705230168801555,0.9972887806497734,0.9997563488766243,0.9999999998784624,0.25176171347267484,0.586307824003293,0.125,0.40625,0.5769230769230769,0.75,1.0,0.875,0.42853134392475617,0.0,0.28125,0.4375,0.59375,1.0,1.0,0.5874359002203536,0.0454545454545454,0.40625,0.5625,0.75,1.0,0.9545454545454546,0.9283143522665243,0.5,0.9032258064516128,0.9375,1.0,1.0,0.5,0.7903205752691979,4.1305960435927445e-11,0.7610414845235078,0.9283620723948678,0.9852281360342516,1.0,0.999999999958694,0.7993762529074074,4.1305960435927445e-11,0.74959525725948,0.9283620723948678,0.9809047717576251,1.0,0.999999999958694,full,full_group,
banknote,nn,bim,0.0,275,2,8.796363636363637,1.0,1.0,5.0,14.0,32.0,31.0,0.0017398331978655014,4.130580026464068e-11,4.130580026464068e-11,4.130580026464068e-11,4.193515381317106e-10,0.3808226311413171,0.3808226311000113,0.0487875864317176,0.0,0.0,0.0,0.0,1.0,1.0,0.9512124135682825,0.0,1.0,1.0,1.0,1.0,1.0,0.0487875864317176,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.06309302842871264,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.998363672593813,0.998363672552507,0.06309302842871264,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.998363672593813,0.998363672552507,full,full_group,
banknote,nn,fgm,0.0,275,2,7.530909090909091,1.0,1.0,5.0,12.0,30.0,29.0,0.0012883129886998097,4.130580026464068e-11,4.130580026464068e-11,4.130580026464068e-11,4.618033275506453e-10,0.2478158208898603,0.2478158208485545,0.0487875864317176,0.0,0.0,0.0,0.0,1.0,1.0,0.9512124135682825,0.0,1.0,1.0,1.0,1.0,1.0,0.0487875864317176,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.06309302842871264,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.998363672593813,0.998363672552507,0.06309302842871264,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.998363672593813,0.998363672552507,full,full_group,
banknote,nn,org,1.0,275,2,25.487272727272728,1.0,19.0,32.0,32.0,32.0,31.0,0.007892391076206373,4.130580026464068e-11,2.3363102733243644e-08,4.0749066131706033e-07,4.289350812229059e-05,0.5204205762991496,0.5204205762578438,0.9433144065708317,0.375,0.9375,1.0,1.0,1.0,0.625,0.9433144065708317,0.375,0.9375,1.0,1.0,1.0,0.625,0.9433144065708317,0.375,0.9375,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.18229329612589049,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.3372900666170139,1.0,0.999999999958694,0.18229329612589049,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.3372900666170139,1.0,0.999999999958694,full,full_group,
banknote,nn,pgd,0.0,275,2,7.530909090909091,1.0,1.0,5.0,12.0,30.0,29.0,0.0005132639503243525,4.130580026464068e-11,4.130580026464068e-11,4.130580026464068e-11,5.28810240559137e-11,0.0905798670160406,0.09057986697473479,0.0487875864317176,0.0,0.0,0.0,0.0,1.0,1.0,0.9512124135682825,0.0,1.0,1.0,1.0,1.0,1.0,0.0487875864317176,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.06309302842871264,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.998363672593813,0.998363672552507,0.06309302842871264,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.998363672593813,0.998363672552507,full,full_group,
banknote,svm,hsj,0.0,275,2,26.014545454545456,1.0,21.0,32.0,32.0,32.0,31.0,0.7476172662772538,0.3752575977017747,0.6528538923553728,0.7678617705040935,0.8514003267145138,0.9951512433455264,0.6198936456437517,0.6519720986473211,0.0,0.5236895161290323,0.7142857142857143,0.84375,1.0,1.0,0.34802790135267875,0.0,0.15625,0.2857142857142857,0.47631048387096775,1.0,1.0,0.6519720986473211,0.0,0.5236895161290323,0.7142857142857143,0.84375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.710026766091245,4.1305960435927445e-11,0.5831542382100035,0.8112781244591328,0.9283620723948678,1.0,0.999999999958694,0.710026766091245,4.1305960435927445e-11,0.5831542382100035,0.8112781244591328,0.9283620723948678,1.0,0.999999999958694,full,full_group,
banknote,svm,org,1.0,275,2,25.483636363636364,1.0,19.0,32.0,32.0,32.0,31.0,0.020403021111732703,5.286466088355394e-09,4.8881878446325726e-05,0.0004543851380651,0.00735146485379885,0.8339581199707733,0.8339581146843073,0.943067080367623,0.375,0.9375,1.0,1.0,1.0,0.625,0.943067080367623,0.375,0.9375,1.0,1.0,1.0,0.625,0.943067080367623,0.375,0.9375,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.18236662053860858,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.3372900666170139,1.0,0.999999999958694,0.18236662053860858,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.3372900666170139,1.0,0.999999999958694,full,full_group,
banknote,svm,zoo,0.1241830065359477,275,2,24.62181818181818,1.0,17.0,31.0,32.0,32.0,31.0,0.8605557248720958,3.135755371913913e-06,0.889998215051562,0.9983588520789152,0.9998726586510246,1.0,0.9999968642446281,0.6962288270242925,0.0,0.5625,0.75,0.8911764705882352,1.0,1.0,0.4230947153823946,0.0,0.16954022988505746,0.34375,0.6846590909090908,1.0,1.0,0.6962288270242925,0.0,0.5625,0.75,0.8911764705882352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6325261041279492,4.1305960435927445e-11,0.4488644887230295,0.787126586201269,0.9233289532246787,1.0,0.999999999958694,0.6325261041279492,4.1305960435927445e-11,0.4488644887230295,0.787126586201269,0.9233289532246787,1.0,0.999999999958694,full,full_group,
