dataset, model              , accuracy          , precision         , recall            , f1                , roc_auc           , balanced_accuracy
wilt   , logistic_regression, 0.9576446280991735, 0.9562329626584742, 0.9576446280991735, 0.9453794541302437, 0.9820288881424253, 0.6148387638562312
wilt   , xgboost            , 0.9834710743801653, 0.9828712909101821, 0.9834710743801653, 0.9829920655210708, 0.9833095398051731, 0.8915015115888478
wilt   , mlp                , 0.987603305785124 , 0.9872595702292272, 0.987603305785124 , 0.9872440491408031, 0.9976276452804838, 0.9118239838763855
wilt   , logistic_regression, 0.9576446280991735, 0.9562329626584742, 0.9576446280991735, 0.9453794541302437, 0.9820288881424253, 0.6148387638562312
wilt   , xgboost            , 0.9834710743801653, 0.9828712909101821, 0.9834710743801653, 0.9829920655210708, 0.9833095398051731, 0.8915015115888478
wilt   , mlp                , 0.987603305785124 , 0.9872595702292272, 0.987603305785124 , 0.9872440491408031, 0.9976276452804838, 0.9118239838763855
banknote,logistic_regression,0.9709090909090909,0.9726993006993007,0.9709090909090909,0.9709803693696311,0.9999464266580949,0.9738562091503268
diabetes,logistic_regression,0.7142857142857143,0.7064642282033586,0.7142857142857143,0.7083516483516483,0.8229629629629629,0.6692592592592592
banknote,xgboost,0.9963636363636363,0.9963872491145218,0.9963636363636363,0.9963620765502779,1.0,0.9959016393442623
diabetes,xgboost,0.7467532467532467,0.7422917218835586,0.7467532467532467,0.7436948559373376,0.8055555555555556,0.7112962962962963
diabetes,mlp,0.7207792207792207,0.7156109196925524,0.7207792207792207,0.7174071488539876,0.8048148148148148,0.6827777777777778
banknote,mlp,1.0,1.0,1.0,1.0,1.0,1.0
