max_depth,min_samples_split,n_estimators,mean_kappa,model_class
50,2,100,0.795538436848018,RF
50,2,200,0.8039379974863845,RF
50,2,500,0.6662387676508345,RF
50,5,100,0.795538436848018,RF
50,5,200,0.8039379974863845,RF
50,5,500,0.7545239968528717,RF
50,8,100,0.795538436848018,RF
50,8,200,0.8039379974863845,RF
50,8,500,0.7545239968528717,RF
80,2,100,0.795538436848018,RF
80,2,200,0.8039379974863845,RF
80,2,500,0.6662387676508345,RF
80,5,100,0.795538436848018,RF
80,5,200,0.8039379974863845,RF
80,5,500,0.7545239968528717,RF
80,8,100,0.795538436848018,RF
80,8,200,0.8039379974863845,RF
80,8,500,0.7545239968528717,RF
110,2,100,0.795538436848018,RF
110,2,200,0.8039379974863845,RF
110,2,500,0.6662387676508345,RF
110,5,100,0.795538436848018,RF
110,5,200,0.8039379974863845,RF
110,5,500,0.7545239968528717,RF
110,8,100,0.795538436848018,RF
110,8,200,0.8039379974863845,RF
110,8,500,0.7545239968528717,RF
