var,fi,fi_rank,dataset,scenario,model_class,heldout_model,cv,attack
n_test,0.0,37.0,banknote,one-data-set-out,XGB,,,
n_classes,0.0,37.0,banknote,one-data-set-out,XGB,,,
neighborhood_size_mean,0.01333648432046175,6.0,banknote,one-data-set-out,XGB,,,
neighborhood_size_q0,0.0,37.0,banknote,one-data-set-out,XGB,,,
neighborhood_size_q25,0.0,37.0,banknote,one-data-set-out,XGB,,,
neighborhood_size_q50,0.0,37.0,banknote,one-data-set-out,XGB,,,
neighborhood_size_q75,0.0,37.0,banknote,one-data-set-out,XGB,,,
neighborhood_size_q1,0.0,37.0,banknote,one-data-set-out,XGB,,,
neighborhood_size_minmax,0.0,37.0,banknote,one-data-set-out,XGB,,,
uncertainty_mean,0.01825418882071972,5.0,banknote,one-data-set-out,XGB,,,
uncertainty_q0,0.0,37.0,banknote,one-data-set-out,XGB,,,
uncertainty_q25,0.036306481808423996,3.0,banknote,one-data-set-out,XGB,,,
uncertainty_q50,0.0035349782556295395,7.0,banknote,one-data-set-out,XGB,,,
uncertainty_q75,0.0,37.0,banknote,one-data-set-out,XGB,,,
uncertainty_q1,0.002019574400037527,8.0,banknote,one-data-set-out,XGB,,,
uncertainty_minmax,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_mean,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q0,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q25,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q50,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q75,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q1,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_minmax,0.0,37.0,banknote,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_mean,0.029799101874232292,4.0,banknote,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_q0,0.0,37.0,banknote,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_q25,0.0,37.0,banknote,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_q50,0.4024806022644043,2.0,banknote,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_q75,0.0,37.0,banknote,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_q1,0.0,37.0,banknote,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_minmax,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_mean,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_q0,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_q25,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_q50,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_q75,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_q1,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_minmax,0.0,37.0,banknote,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_mean,0.0,37.0,banknote,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_q0,0.0,37.0,banknote,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_q25,0.0,37.0,banknote,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_q50,0.0,37.0,banknote,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_q75,0.0,37.0,banknote,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_q1,0.0,37.0,banknote,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_minmax,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_mean,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_q0,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_q25,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_q50,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_q75,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_q1,0.0,37.0,banknote,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_minmax,0.0,37.0,banknote,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_mean,0.0,37.0,banknote,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_q0,0.0,37.0,banknote,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_q25,0.0,37.0,banknote,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_q50,0.0,37.0,banknote,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_q75,0.0,37.0,banknote,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_q1,0.0,37.0,banknote,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_minmax,0.0,37.0,banknote,one-data-set-out,XGB,,,
bacc_test_mean,0.4942685067653656,1.0,banknote,one-data-set-out,XGB,,,
bacc_test_q0,0.0,37.0,banknote,one-data-set-out,XGB,,,
bacc_test_q25,0.0,37.0,banknote,one-data-set-out,XGB,,,
bacc_test_q50,0.0,37.0,banknote,one-data-set-out,XGB,,,
bacc_test_q75,0.0,37.0,banknote,one-data-set-out,XGB,,,
bacc_test_q1,0.0,37.0,banknote,one-data-set-out,XGB,,,
bacc_test_minmax,0.0,37.0,banknote,one-data-set-out,XGB,,,
n_test,0.0,38.0,diabetes,one-data-set-out,XGB,,,
n_classes,0.0,38.0,diabetes,one-data-set-out,XGB,,,
neighborhood_size_mean,0.0,38.0,diabetes,one-data-set-out,XGB,,,
neighborhood_size_q0,0.0,38.0,diabetes,one-data-set-out,XGB,,,
neighborhood_size_q25,0.0,38.0,diabetes,one-data-set-out,XGB,,,
neighborhood_size_q50,0.01266463939100504,7.0,diabetes,one-data-set-out,XGB,,,
neighborhood_size_q75,0.0,38.0,diabetes,one-data-set-out,XGB,,,
neighborhood_size_q1,0.0,38.0,diabetes,one-data-set-out,XGB,,,
neighborhood_size_minmax,0.0,38.0,diabetes,one-data-set-out,XGB,,,
uncertainty_mean,0.012263341806828976,9.0,diabetes,one-data-set-out,XGB,,,
uncertainty_q0,0.0,38.0,diabetes,one-data-set-out,XGB,,,
uncertainty_q25,0.008848108351230621,10.0,diabetes,one-data-set-out,XGB,,,
uncertainty_q50,0.02800244465470314,4.0,diabetes,one-data-set-out,XGB,,,
uncertainty_q75,0.0,38.0,diabetes,one-data-set-out,XGB,,,
uncertainty_q1,0.0,38.0,diabetes,one-data-set-out,XGB,,,
uncertainty_minmax,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_mean,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q0,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q25,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q50,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q75,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q1,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_minmax,0.0,38.0,diabetes,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_mean,0.02634321339428425,5.0,diabetes,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_q0,0.0,38.0,diabetes,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_q25,0.0,38.0,diabetes,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_q50,0.0,38.0,diabetes,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_q75,0.0,38.0,diabetes,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_q1,0.0,38.0,diabetes,one-data-set-out,XGB,,,
pred_targets_consistency_in_neighborhood_minmax,0.051688794046640396,3.0,diabetes,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_mean,0.09369714558124542,2.0,diabetes,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_q0,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_q25,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_q50,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_q75,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_q1,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_targets_consistency_in_neighborhood_minmax,0.0,38.0,diabetes,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_mean,0.0,38.0,diabetes,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_q0,0.0,38.0,diabetes,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_q25,0.02430570125579834,6.0,diabetes,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_q50,0.0,38.0,diabetes,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_q75,0.0,38.0,diabetes,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_q1,0.0,38.0,diabetes,one-data-set-out,XGB,,,
targets_and_approxs_consistency_in_neighborhood_minmax,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_mean,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_q0,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_q25,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_q50,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_q75,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_q1,0.0,38.0,diabetes,one-data-set-out,XGB,,,
target_diversity_in_neighborhood_minmax,0.0,38.0,diabetes,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_mean,0.012501876801252365,8.0,diabetes,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_q0,0.0,38.0,diabetes,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_q25,0.0,38.0,diabetes,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_q50,0.0,38.0,diabetes,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_q75,0.0,38.0,diabetes,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_q1,0.0,38.0,diabetes,one-data-set-out,XGB,,,
approx_diversity_in_neighborhood_minmax,0.0,38.0,diabetes,one-data-set-out,XGB,,,
bacc_test_mean,0.7296847105026245,1.0,diabetes,one-data-set-out,XGB,,,
bacc_test_q0,0.0,38.0,diabetes,one-data-set-out,XGB,,,
bacc_test_q25,0.0,38.0,diabetes,one-data-set-out,XGB,,,
bacc_test_q50,0.0,38.0,diabetes,one-data-set-out,XGB,,,
bacc_test_q75,0.0,38.0,diabetes,one-data-set-out,XGB,,,
bacc_test_q1,0.0,38.0,diabetes,one-data-set-out,XGB,,,
bacc_test_minmax,0.0,38.0,diabetes,one-data-set-out,XGB,,,
n_test,0.0,33.5,wilt,one-data-set-out,XGB,,,
n_classes,0.0,33.5,wilt,one-data-set-out,XGB,,,
neighborhood_size_mean,0.0,33.5,wilt,one-data-set-out,XGB,,,
neighborhood_size_q0,0.0,33.5,wilt,one-data-set-out,XGB,,,
neighborhood_size_q25,0.0,33.5,wilt,one-data-set-out,XGB,,,
neighborhood_size_q50,0.0,33.5,wilt,one-data-set-out,XGB,,,
neighborhood_size_q75,0.0,33.5,wilt,one-data-set-out,XGB,,,
neighborhood_size_q1,0.0,33.5,wilt,one-data-set-out,XGB,,,
neighborhood_size_minmax,0.0,33.5,wilt,one-data-set-out,XGB,,,
uncertainty_mean,0.0,33.5,wilt,one-data-set-out,XGB,,,
uncertainty_q0,0.0,33.5,wilt,one-data-set-out,XGB,,,
uncertainty_q25,0.0,33.5,wilt,one-data-set-out,XGB,,,
uncertainty_q50,0.0,33.5,wilt,one-data-set-out,XGB,,,
uncertainty_q75,0.0,33.5,wilt,one-data-set-out,XGB,,,
uncertainty_q1,0.0,33.5,wilt,one-data-set-out,XGB,,,
uncertainty_minmax,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_mean,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q0,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q25,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q50,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q75,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_q1,0.0,33.5,wilt,one-data-set-out,XGB,,,
target_approx_consistency_in_neighborhood_minmax,0.0,33.5,wilt,one-data-set-out,XGB,,,
