dataset,bacc,kappa,precision_weighted,recall_weighted,f1_weighted,scenario,model_class,model,cv
banknote,0.5555555555555556,0.606060606060606,0.7025641025641025,0.6923076923076923,0.6346153846153846,one-data-set-out,XGB,,
diabetes,0.27777777777777773,0.20000000000000018,0.22307692307692306,0.38461538461538464,0.2603550295857988,one-data-set-out,XGB,,
wilt,0.34722222222222215,0.24087591240875916,0.40384615384615385,0.38461538461538464,0.3714285714285715,one-data-set-out,XGB,,
,0.5555555555555555,0.36842105263157887,0.4166666666666667,0.5555555555555556,0.47619047619047616,one-model-out,XGB,lin,
,0.25,0.19999999999999996,0.25,0.25,0.25,one-model-out,XGB,nn,
,0.7777777777777777,0.6666666666666667,0.8666666666666667,0.7777777777777778,0.7833333333333334,one-model-out,XGB,svm,
,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6571428571428571,one-model-out,XGB,xgb,
,0.3611111111111111,0.40000000000000013,0.5384615384615384,0.5384615384615384,0.4908424908424908,10-fold cross-validation,XGB,,0.0
,0.3333333333333333,0.40909090909090906,0.5384615384615384,0.5384615384615384,0.5318681318681319,10-fold cross-validation,XGB,,1.0
,0.2916666666666667,0.33576642335766427,0.4461538461538461,0.46153846153846156,0.4368131868131868,10-fold cross-validation,XGB,,2.0
banknote,0.5555555555555556,0.606060606060606,0.7025641025641025,0.6923076923076923,0.6346153846153846,one-data-set-out,RF,,
diabetes,0.27777777777777773,0.19999999999999984,0.1758241758241758,0.38461538461538464,0.241025641025641,one-data-set-out,RF,,
wilt,0.27777777777777773,0.26016260162601623,0.25274725274725274,0.46153846153846156,0.32634032634032634,one-data-set-out,RF,,
,0.6666666666666666,0.5263157894736841,0.8055555555555556,0.6666666666666666,0.6746031746031745,one-model-out,RF,lin,
,0.25,0.19999999999999996,0.25,0.25,0.25,one-model-out,RF,nn,
,0.8888888888888888,0.8333333333333333,0.9166666666666666,0.8888888888888888,0.8857142857142857,one-model-out,RF,svm,
,0.8888888888888888,0.8333333333333334,0.9166666666666666,0.8888888888888888,0.8857142857142857,one-model-out,RF,xgb,
,0.38888888888888884,0.5000000000000001,0.5769230769230769,0.6153846153846154,0.5934065934065934,10-fold cross-validation,RF,,0.0
,0.3888888888888889,0.5038167938931298,0.6499999999999999,0.6153846153846154,0.5866910866910866,10-fold cross-validation,RF,,1.0
,0.38888888888888884,0.5038167938931298,0.6499999999999999,0.6153846153846154,0.5866910866910866,10-fold cross-validation,RF,,2.0
