scenario,model_class,true,pred,count
10-fold cross-validation,RF,bim,bim,0
10-fold cross-validation,RF,bim,fgm,1
10-fold cross-validation,RF,bim,hsj,0
10-fold cross-validation,RF,bim,org,0
10-fold cross-validation,RF,bim,pgd,2
10-fold cross-validation,RF,bim,zoo,0
10-fold cross-validation,RF,fgm,bim,2
10-fold cross-validation,RF,fgm,fgm,0
10-fold cross-validation,RF,fgm,hsj,0
10-fold cross-validation,RF,fgm,org,0
10-fold cross-validation,RF,fgm,pgd,0
10-fold cross-validation,RF,fgm,zoo,1
10-fold cross-validation,RF,hsj,bim,0
10-fold cross-validation,RF,hsj,fgm,0
10-fold cross-validation,RF,hsj,hsj,6
10-fold cross-validation,RF,hsj,org,1
10-fold cross-validation,RF,hsj,pgd,0
10-fold cross-validation,RF,hsj,zoo,2
10-fold cross-validation,RF,org,bim,0
10-fold cross-validation,RF,org,fgm,0
10-fold cross-validation,RF,org,hsj,0
10-fold cross-validation,RF,org,org,12
10-fold cross-validation,RF,org,pgd,0
10-fold cross-validation,RF,org,zoo,0
10-fold cross-validation,RF,pgd,bim,3
10-fold cross-validation,RF,pgd,fgm,0
10-fold cross-validation,RF,pgd,hsj,0
10-fold cross-validation,RF,pgd,org,0
10-fold cross-validation,RF,pgd,pgd,0
10-fold cross-validation,RF,pgd,zoo,0
10-fold cross-validation,RF,zoo,bim,0
10-fold cross-validation,RF,zoo,fgm,0
10-fold cross-validation,RF,zoo,hsj,2
10-fold cross-validation,RF,zoo,org,1
10-fold cross-validation,RF,zoo,pgd,0
10-fold cross-validation,RF,zoo,zoo,6
10-fold cross-validation,XGB,bim,bim,0
10-fold cross-validation,XGB,bim,fgm,3
10-fold cross-validation,XGB,bim,hsj,0
10-fold cross-validation,XGB,bim,org,0
10-fold cross-validation,XGB,bim,pgd,0
10-fold cross-validation,XGB,bim,zoo,0
10-fold cross-validation,XGB,fgm,bim,2
10-fold cross-validation,XGB,fgm,fgm,0
10-fold cross-validation,XGB,fgm,hsj,0
10-fold cross-validation,XGB,fgm,org,0
10-fold cross-validation,XGB,fgm,pgd,0
10-fold cross-validation,XGB,fgm,zoo,1
10-fold cross-validation,XGB,hsj,bim,0
10-fold cross-validation,XGB,hsj,fgm,0
10-fold cross-validation,XGB,hsj,hsj,4
10-fold cross-validation,XGB,hsj,org,0
10-fold cross-validation,XGB,hsj,pgd,1
