var,fi,fi_rank,dataset,scenario,model_class,heldout_model,cv
bacc_test,0.10174114257097244,4.0,banknote,one-data-set-out,XGB,,
n_test,0.002807958982884884,24.0,banknote,one-data-set-out,XGB,,
n_classes,0.0,44.0,banknote,one-data-set-out,XGB,,
neighborhood_size_mean,0.1487957239151001,3.0,banknote,one-data-set-out,XGB,,
neighborhood_size_q0,0.0,44.0,banknote,one-data-set-out,XGB,,
neighborhood_size_q25,0.0,44.0,banknote,one-data-set-out,XGB,,
neighborhood_size_q50,0.0,44.0,banknote,one-data-set-out,XGB,,
neighborhood_size_q75,0.0,44.0,banknote,one-data-set-out,XGB,,
neighborhood_size_q1,0.0,44.0,banknote,one-data-set-out,XGB,,
neighborhood_size_minmax,0.0,44.0,banknote,one-data-set-out,XGB,,
uncertainty_mean,0.009679246693849564,13.0,banknote,one-data-set-out,XGB,,
uncertainty_q0,0.01128440536558628,11.0,banknote,one-data-set-out,XGB,,
uncertainty_q25,0.07561232894659042,5.0,banknote,one-data-set-out,XGB,,
uncertainty_q50,0.06007992476224899,6.0,banknote,one-data-set-out,XGB,,
uncertainty_q75,0.004181315656751394,19.0,banknote,one-data-set-out,XGB,,
uncertainty_q1,0.054266903549432755,7.0,banknote,one-data-set-out,XGB,,
uncertainty_minmax,0.010740433819591999,12.0,banknote,one-data-set-out,XGB,,
target_approx_consistency_in_neighborhood_mean,0.0006731670582666993,27.0,banknote,one-data-set-out,XGB,,
target_approx_consistency_in_neighborhood_q0,0.0,44.0,banknote,one-data-set-out,XGB,,
target_approx_consistency_in_neighborhood_q25,0.21274434030056,1.0,banknote,one-data-set-out,XGB,,
target_approx_consistency_in_neighborhood_q50,0.006228882819414139,16.0,banknote,one-data-set-out,XGB,,
target_approx_consistency_in_neighborhood_q75,0.0,44.0,banknote,one-data-set-out,XGB,,
target_approx_consistency_in_neighborhood_q1,0.0,44.0,banknote,one-data-set-out,XGB,,
target_approx_consistency_in_neighborhood_minmax,0.0,44.0,banknote,one-data-set-out,XGB,,
pred_targets_consistency_in_neighborhood_mean,0.014316190965473652,10.0,banknote,one-data-set-out,XGB,,
pred_targets_consistency_in_neighborhood_q0,0.009506781585514545,14.0,banknote,one-data-set-out,XGB,,
pred_targets_consistency_in_neighborhood_q25,0.0032113436609506607,22.0,banknote,one-data-set-out,XGB,,
pred_targets_consistency_in_neighborhood_q50,0.0,44.0,banknote,one-data-set-out,XGB,,
pred_targets_consistency_in_neighborhood_q75,0.005775023251771927,17.0,banknote,one-data-set-out,XGB,,
pred_targets_consistency_in_neighborhood_q1,0.0,44.0,banknote,one-data-set-out,XGB,,
pred_targets_consistency_in_neighborhood_minmax,0.04740773141384125,8.0,banknote,one-data-set-out,XGB,,
target_targets_consistency_in_neighborhood_mean,0.008390391245484352,15.0,banknote,one-data-set-out,XGB,,
target_targets_consistency_in_neighborhood_q0,0.0,44.0,banknote,one-data-set-out,XGB,,
target_targets_consistency_in_neighborhood_q25,0.1506129652261734,2.0,banknote,one-data-set-out,XGB,,
