dataset , model, attack, epsilon, steps, n_samples, clean_acc         , adv_acc             , clean_bacc        , adv_bacc           , acc_drop             , bacc_drop            , asr               , l0_mean             , l2_mean               , linf_mean
wilt    , nn   , fgm   ,     0.0,   100,       968, 0.9865702479338843, 0.9865702479338843  , 0.9587075575027382, 0.9587075575027382 , 0.0                  , 0.0                  , 0.0               , 0.0                 , 0.0                   , 0.0
wilt    , nn   , fgm   ,     0.1,   100,       968, 0.9834710743801653, 0.029958677685950414, 0.9741511500547645, 0.03296823658269441, 0.953512396694215    , 0.9411829134720701   , 0.9863445378151261, 4.984504132231405   , 0.2089506983757019    , 0.09969010949134827
wilt    , nn   , fgm   ,     0.2,   100,       968, 0.987603305785124 , 0.025826446280991736, 0.9507119386637459, 0.06495071193866374, 0.9617768595041323   , 0.8857612267250822   , 0.9864016736401674, 4.978305785123967   , 0.3913840353488922    , 0.19917356967926025
wilt    , nn   , pgd   ,     0.0,   100,       968, 0.9865702479338843, 0.9865702479338843  , 0.907447973713034 , 0.907447973713034  , 0.0                  , 0.0                  , 0.0               , 0.0                 , 0.0                   , 0.0
wilt    , nn   , pgd   ,     0.1,   100,       968, 0.9865702479338843, 0.1652892561983471  , 0.9757940854326397, 0.16451259583789704, 0.8212809917355371   , 0.8112814895947427   , 0.8429319371727748, 4.911157024793388   , 0.15374594926834106   , 0.09284894168376923
wilt    , nn   , pgd   ,     0.2,   100,       968, 0.9865702479338843, 0.2902892561983471  , 0.9672508214676889, 0.17951807228915664, 0.6962809917355371   , 0.7877327491785323   , 0.7193717277486911, 4.996900826446281   , 0.3540983200073242    , 0.18889015913009644
wilt    , nn   , bim   ,     0.0,   100,       968, 0.9855371900826446, 0.9855371900826446  , 0.9069003285870756, 0.9069003285870756 , 0.0                  , 0.0                  , 0.0               , 0.0                 , 0.0                   , 0.0
wilt    , nn   , bim   ,     0.1,   100,       968, 0.9834710743801653, 0.029958677685950414, 0.9058050383351588, 0.10131434830230011, 0.953512396694215    , 0.8044906900328587   , 0.9863445378151261, 4.93595041322314    , 0.20704656839370728   , 0.09896697103977203
wilt    , nn   , bim   ,     0.2,   100,       968, 0.9865702479338843, 0.01652892561983471 , 0.9159912376779846, 0.08565169769989046, 0.9700413223140496   , 0.8303395399780942   , 0.9968586387434555, 4.958677685950414   , 0.22050757706165314   , 0.1063016802072525
banknote, nn   , fgm   ,     0.0,   100,       275, 1.0               , 1.0                 , 1.0               , 1.0                , 0.0                  , 0.0                  , 0.0               , 0.014545454545454545, 0.00012669542047660798, 0.00012669542047660798
banknote, nn   , fgm   ,     0.1,   100,       275, 1.0               , 0.20363636363636364 , 1.0               , 0.1830065359477124 , 0.7963636363636364   , 0.8169934640522876   , 0.7963636363636364, 4.0                 , 0.1976851224899292    , 0.10000003129243851
banknote, nn   , fgm   ,     0.2,   100,       275, 1.0               , 0.0                 , 1.0               , 0.0                , 1.0                  , 1.0                  , 1.0               , 4.0                 , 0.3869953751564026    , 0.20000003278255463
banknote, nn   , pgd   ,     0.0,   100,       275, 1.0               , 1.0                 , 1.0               , 1.0                , 0.0                  , 0.0                  , 0.0               , 0.014545454545454545, 0.00012669542047660798, 0.00012669542047660798
banknote, nn   , pgd   ,     0.1,   100,       275, 1.0               , 0.11272727272727273 , 1.0               , 0.10213757634201222, 0.8872727272727272   , 0.8978624236579877   , 0.8872727272727273, 3.9963636363636366  , 0.19756174087524414   , 0.10000003129243851
banknote, nn   , pgd   ,     0.2,   100,       275, 1.0               , 0.0                 , 1.0               , 0.0                , 1.0                  , 1.0                  , 1.0               , 4.0                 , 0.3869953751564026    , 0.20000003278255463
banknote, nn   , bim   ,     0.0,   100,       275, 1.0               , 1.0                 , 1.0               , 1.0                , 0.0                  , 0.0                  , 0.0               , 0.014545454545454545, 0.00012669542047660798, 0.00012669542047660798
banknote, nn   , bim   ,     0.1,   100,       275, 1.0               , 0.11272727272727273 , 1.0               , 0.10130718954248366, 0.8872727272727272   , 0.8986928104575164   , 0.8872727272727273, 4.0                 , 0.1976851224899292    , 0.10000003129243851
banknote, nn   , bim   ,     0.2,   100,       275, 1.0               , 0.0                 , 1.0               , 0.0                , 1.0                  , 1.0                  , 1.0               , 3.9890909090909092  , 0.38641077280044556   , 0.20000003278255463
diabetes, nn   , fgm   ,     0.0,   100,       154, 0.7402597402597403, 0.7402597402597403  , 0.6935185185185185, 0.6935185185185185 , 0.0                  , 0.0                  , 0.0               , 0.01948051948051948 , 0.0011708043748512864 , 0.0011708043748512864
diabetes, nn   , fgm   ,     0.1,   100,       154, 0.7142857142857143, 0.577922077922078   , 0.665             , 0.5812962962962962 , 0.13636363636363635  , 0.08370370370370384  , 0.5727272727272728, 7.48051948051948    , 0.27029308676719666   , 0.10024091601371765
diabetes, nn   , fgm   ,     0.2,   100,       154, 0.7402597402597403, 0.3051948051948052  , 0.7361111111111112, 0.3201851851851852 , 0.4350649350649351   , 0.415925925925926    , 0.9298245614035088, 7.48051948051948    , 0.5307776927947998    , 0.20000003278255463
diabetes, nn   , pgd   ,     0.0,   100,       154, 0.7142857142857143, 0.7142857142857143  , 0.6862962962962963, 0.6862962962962963 , 0.0                  , 0.0                  , 0.0               , 0.01948051948051948 , 0.0011708043748512864 , 0.0011708043748512864
diabetes, nn   , pgd   ,     0.1,   100,       154, 0.7467532467532467, 0.461038961038961   , 0.7198148148148149, 0.4572222222222222 , 0.2857142857142857   , 0.2625925925925927   , 0.7130434782608696, 6.746753246753247   , 0.25290700793266296   , 0.10024091601371765
diabetes, nn   , pgd   ,     0.2,   100,       154, 0.7272727272727273, 0.3051948051948052  , 0.6962962962962963, 0.3372222222222222 , 0.4220779220779221   , 0.3590740740740741   , 0.9553571428571429, 7.207792207792208   , 0.47129327058792114   , 0.20000003278255463
diabetes, nn   , bim   ,     0.0,   100,       154, 0.7337662337662337, 0.7337662337662337  , 0.6757407407407408, 0.6757407407407408 , 0.0                  , 0.0                  , 0.0               , 0.01948051948051948 , 0.0011708043748512864 , 0.0011708043748512864
diabetes, nn   , bim   ,     0.1,   100,       154, 0.7142857142857143, 0.487012987012987   , 0.6777777777777778, 0.49               , 0.2272727272727273   , 0.18777777777777782  , 0.7               , 6.097402597402597   , 0.24138790369033813   , 0.10024091601371765
diabetes, nn   , bim   ,     0.2,   100,       154, 0.7597402597402597, 0.2727272727272727  , 0.7511111111111111, 0.27814814814814814, 0.487012987012987    , 0.4729629629629629   , 0.9572649572649573, 6.363636363636363   , 0.48051032423973083   , 0.20000003278255463
wilt    , lin  , zoo   ,        ,   100,        25, 0.84              , 0.84                , 0.5               , 0.5                , 0.0                  , 0.0                  , 0.0               , 4.32                , 0.5231716632843018    , 0.40914905071258545
wilt    , lin  , hsj   ,        ,   100,        25, 0.84              , 0.84                , 0.5               , 0.5                , 0.0                  , 0.0                  , 0.0               , 0.0                 , 0.0                   , 0.0
wilt    , lin  , lpf   ,        ,   100,        25, 0.84              , 0.84                , 0.5               , 0.5                , 0.0                  , 0.0                  , 0.0               , 5.0                 , 0.0877741894340451    , 0.06389804923046803
wilt    , svm  , zoo   ,        ,   100,        25, 0.96              , 0.0                 , 0.875             , 0.0                , 0.96                 , 0.875                , 1.0               , 4.6                 , 0.06042664498090744   , 0.04370129480957985
wilt    , svm  , hsj   ,        ,   100,        25, 0.96              , 0.12                , 0.875             , 0.17261904761904762, 0.84                 , 0.7023809523809523   , 0.9166666666666666, 4.52                , 0.009590295143425465  , 0.007073701824992895
wilt    , svm  , lpf   ,        ,   100,        25, 0.96              , 1.0                 , 0.875             , 1.0                , -0.040000000000000036, -0.125               , 0.0               , 5.0                 , 0.2027918027219501    , 0.1705633570411368
wilt    , xgb  , zoo   ,        ,   100,        25, 1.0               , 0.0                 , 1.0               , 0.0                , 1.0                  , 1.0                  , 1.0               , 4.04                , 0.05689220130443573   , 0.04027228429913521
wilt    , xgb  , hsj   ,        ,   100,        25, 1.0               , 0.0                 , 1.0               , 0.0                , 1.0                  , 1.0                  , 1.0               , 5.0                 , 0.012035808525979519  , 0.011285006999969482
banknote, lin  , hsj   ,        ,   100,        25, 0.96              , 0.0                 , 0.9545454545454546, 0.0                , 0.96                 , 0.9545454545454546   , 1.0               , 4.0                 , 0.1604653000831604    , 0.11435869336128235
banknote, lin  , lpf   ,        ,   100,        25, 0.96              , 1.0                 , 0.9545454545454546, 1.0                , -0.040000000000000036, -0.045454545454545414, 0.0               , 4.0                 , 0.22897352801541904   , 0.1906778597356117
banknote, svm  , hsj   ,        ,   100,        25, 1.0               , 0.0                 , 1.0               , 0.0                , 1.0                  , 1.0                  , 1.0               , 4.0                 , 0.15418019890785217   , 0.11061735451221466
